Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 101 Hùng Vương,180326
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1529285
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,300631
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1187061
Cà Phê Muối Chú Long - 3/26 Quang Trung,1849030
Cà Phê Muối Chú Long - 35 Trần Phú,556129
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,582479
Cà Phê Muối Chú Long - 417 Cộng Hoà,1934905
Cà Phê Muối Chú Long - 585 Quang Trung,4362497
Cà Phê Muối Chú Long - 59 Trường Chinh,2261062
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,235895
Cà Phê Muối Chú Long - An Dương Vương,2652683
Cà Phê Muối Chú Long - Bà Rịa,21881
Cà Phê Muối Chú Long - Bà Triệu,1070991
Cà Phê Muối Chú Long - Bạch Đằng,804599
Cà Phê Muối Chú Long - Bến Tre,146108
Cà Phê Muối Chú Long - Bình Long,4327391
Cà Phê Muối Chú Long - Cà Mau,499294
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,979223
Cà Phê Muối Chú Long - Cần Thơ,1248367
Cà Phê Muối Chú Long - Classic,1357613
Cà Phê Muối Chú Long - Công Trường Quốc Tế,988640
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1215671
Cà Phê Muối Chú Long - Đoàn Thị Điểm,242587
Cà Phê Muối Chú Long - Đội Cấn,4980561
Cà Phê Muối Chú Long - Đồng Xoài,412940
Cà Phê Muối Chú Long - Đường Láng,7302875
Cà Phê Muối Chú Long - Hà Huy Giáp,3742881
Cà Phê Muối Chú Long - Hậu Giang,3945708
Cà Phê Muối Chú Long - Hoàng Diệu,978055
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2338507
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2992508
Cà Phê Muối Chú Long - Kha Vạn Cân,1975595
Cà Phê Muối Chú Long - Kiên Giang,368423
Cà Phê Muối Chú Long - Lạc Long Quân,2078460
Cà Phê Muối Chú Long - Lê Duẩn,1360450
Cà Phê Muối Chú Long - Lê Văn Sỹ,2178022
Cà Phê Muối Chú Long - Lê Văn Việt,2025054
Cà Phê Muối Chú Long - Long An,706242
Cà Phê Muối Chú Long - Long Xuyên,261928
Cà Phê Muối Chú Long - Ngô Tất Tố,980431
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3616208
Cà Phê Muối Chú Long - Nguyễn Huệ,2831450
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1662696
Cà Phê Muối Chú Long - Nha Trang,2989266
Cà Phê Muối Chú Long - Phan Thiết,2648713
Cà Phê Muối Chú Long - Phan Văn Trị,2547998
Cà Phê Muối Chú Long - Quảng Ngãi,751561
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,3436728
Cà Phê Muối Chú Long - Tây Ninh,427530
Cà Phê Muối Chú Long - Thanh Nhàn,6080354
Cà Phê Muối Chú Long - Thành Thái,4375862
Cà Phê Muối Chú Long - Thích Quảng Đức,522102
Cà Phê Muối Chú Long - Thuận An,1034839
Cà Phê Muối Chú Long - Tôn Đức Thắng,5689464
Cà Phê Muối Chú Long - Trà Vinh,436217
Cà Phê Muối Chú Long - Trần Hưng Đạo,674448
Cà Phê Muối Chú Long - Trương Định,5749185
Cà Phê Muối Chú Long - Vĩnh Long,534287
Cà Phê Muối Chú Long - Võ Văn Kiệt,2977234
Cà Phê Muối Chú Long - Vũng Tàu,1736005
(blank),
Grand Total,119885135
