Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1810965
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,449165
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1390731
Cà Phê Muối Chú Long - 3/26 Quang Trung,2042618
Cà Phê Muối Chú Long - 35 Trần Phú,88843
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,1279642
Cà Phê Muối Chú Long - 417 Cộng Hoà,2580471
Cà Phê Muối Chú Long - 585 Quang Trung,4586047
Cà Phê Muối Chú Long - 59 Trường Chinh,1723263
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,156371
Cà Phê Muối Chú Long - An Dương Vương,3186476
Cà Phê Muối Chú Long - Bà Rịa,231257
Cà Phê Muối Chú Long - Bà Triệu,905630
Cà Phê Muối Chú Long - Bạch Đằng,965012
Cà Phê Muối Chú Long - Bến Tre,341474
Cà Phê Muối Chú Long - Bình Long,4378157
Cà Phê Muối Chú Long - Cà Mau,540089
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1640614
Cà Phê Muối Chú Long - Cần Thơ,924080
Cà Phê Muối Chú Long - Classic,2223522
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2491545
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1165415
Cà Phê Muối Chú Long - Đoàn Thị Điểm,185007
Cà Phê Muối Chú Long - Đội Cấn,7756990
Cà Phê Muối Chú Long - Đồng Xoài,383364
Cà Phê Muối Chú Long - Đường Láng,7428668
Cà Phê Muối Chú Long - Hà Huy Giáp,3278586
Cà Phê Muối Chú Long - Hậu Giang,4666455
Cà Phê Muối Chú Long - Hoàng Diệu,778863
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3013621
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2713056
Cà Phê Muối Chú Long - Kha Vạn Cân,2931637
Cà Phê Muối Chú Long - Kiên Giang,381100
Cà Phê Muối Chú Long - Lạc Long Quân,2448426
Cà Phê Muối Chú Long - Lê Duẩn,1150873
Cà Phê Muối Chú Long - Lê Văn Sỹ,3764782
Cà Phê Muối Chú Long - Lê Văn Việt,2488696
Cà Phê Muối Chú Long - Long An,963002
Cà Phê Muối Chú Long - Long Xuyên,378800
Cà Phê Muối Chú Long - Ngô Tất Tố,1387762
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5542804
Cà Phê Muối Chú Long - Nguyễn Huệ,4444186
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2998219
Cà Phê Muối Chú Long - Nha Trang,3325201
Cà Phê Muối Chú Long - Phan Thiết,1958948
Cà Phê Muối Chú Long - Phan Văn Trị,2450772
Cà Phê Muối Chú Long - Quảng Ngãi,592967
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4624571
Cà Phê Muối Chú Long - Tây Ninh,160334
Cà Phê Muối Chú Long - Thanh Nhàn,9818931
Cà Phê Muối Chú Long - Thành Thái,6677273
Cà Phê Muối Chú Long - Thích Quảng Đức,857499
Cà Phê Muối Chú Long - Thuận An,1190919
Cà Phê Muối Chú Long - Tôn Đức Thắng,10412537
Cà Phê Muối Chú Long - Trà Vinh,325947
Cà Phê Muối Chú Long - Trần Hưng Đạo,755975
Cà Phê Muối Chú Long - Trương Định,12675589
Cà Phê Muối Chú Long - Vĩnh Long,426961
Cà Phê Muối Chú Long - Võ Văn Kiệt,3779198
Cà Phê Muối Chú Long - Vũng Tàu,866548
(blank),
Grand Total,155086454
