Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 101 Hùng Vương,502497
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,796078
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,60662
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1309839
Cà Phê Muối Chú Long - 3/26 Quang Trung,1692499
Cà Phê Muối Chú Long - 35 Trần Phú,335470
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,1107233
Cà Phê Muối Chú Long - 417 Cộng Hoà,2698209
Cà Phê Muối Chú Long - 585 Quang Trung,4920629
Cà Phê Muối Chú Long - 59 Trường Chinh,760591
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,386532
Cà Phê Muối Chú Long - An Dương Vương,3778832
Cà Phê Muối Chú Long - Bà Rịa,79525
Cà Phê Muối Chú Long - Bà Triệu,1023537
Cà Phê Muối Chú Long - Bạch Đằng,823238
Cà Phê Muối Chú Long - Bến Tre,334333
Cà Phê Muối Chú Long - Bình Long,5356342
Cà Phê Muối Chú Long - Cà Mau,330924
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1737401
Cà Phê Muối Chú Long - Cần Thơ,1231034
Cà Phê Muối Chú Long - Classic,1433034
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2124247
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1442564
Cà Phê Muối Chú Long - Đoàn Thị Điểm,165653
Cà Phê Muối Chú Long - Đội Cấn,5281888
Cà Phê Muối Chú Long - Đồng Xoài,296604
Cà Phê Muối Chú Long - Đường Láng,8196897
Cà Phê Muối Chú Long - Hà Huy Giáp,3633074
Cà Phê Muối Chú Long - Hậu Giang,5395110
Cà Phê Muối Chú Long - Hoàng Diệu,1060296
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2052974
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2295840
Cà Phê Muối Chú Long - Kha Vạn Cân,2193522
Cà Phê Muối Chú Long - Kiên Giang,500944
Cà Phê Muối Chú Long - Lạc Long Quân,2677296
Cà Phê Muối Chú Long - Lê Duẩn,1244104
Cà Phê Muối Chú Long - Lê Văn Sỹ,3684824
Cà Phê Muối Chú Long - Lê Văn Việt,2443719
Cà Phê Muối Chú Long - Long An,1026762
Cà Phê Muối Chú Long - Long Xuyên,521686
Cà Phê Muối Chú Long - Ngô Tất Tố,657081
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4160216
Cà Phê Muối Chú Long - Nguyễn Huệ,3347693
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1726838
Cà Phê Muối Chú Long - Nha Trang,3501437
Cà Phê Muối Chú Long - Phan Thiết,2675081
Cà Phê Muối Chú Long - Phan Văn Trị,3600425
Cà Phê Muối Chú Long - Quảng Ngãi,805995
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4199320
Cà Phê Muối Chú Long - Tây Ninh,267621
Cà Phê Muối Chú Long - Thanh Nhàn,8469896
Cà Phê Muối Chú Long - Thành Thái,4578771
Cà Phê Muối Chú Long - Thích Quảng Đức,450742
Cà Phê Muối Chú Long - Thuận An,1724028
Cà Phê Muối Chú Long - Tôn Đức Thắng,6747917
Cà Phê Muối Chú Long - Trà Vinh,488380
Cà Phê Muối Chú Long - Trần Hưng Đạo,998645
Cà Phê Muối Chú Long - Trương Định,7442245
Cà Phê Muối Chú Long - Vĩnh Long,627064
Cà Phê Muối Chú Long - Võ Văn Kiệt,2691152
Cà Phê Muối Chú Long - Vũng Tàu,1897155
(blank),
Grand Total,137994145
