Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1528710
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,509999
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2360700
Cà Phê Muối Chú Long - 3/26 Quang Trung,2056120
Cà Phê Muối Chú Long - 35 Trần Phú,484065
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,643594
Cà Phê Muối Chú Long - 417 Cộng Hoà,2552305
Cà Phê Muối Chú Long - 585 Quang Trung,5495594
Cà Phê Muối Chú Long - 59 Trường Chinh,4204928
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,656006
Cà Phê Muối Chú Long - An Dương Vương,3448942
Cà Phê Muối Chú Long - Bà Rịa,84807
Cà Phê Muối Chú Long - Bà Triệu,878499
Cà Phê Muối Chú Long - Bạch Đằng,1435448
Cà Phê Muối Chú Long - Bến Tre,463572
Cà Phê Muối Chú Long - Bình Long,5502995
Cà Phê Muối Chú Long - Cà Mau,428637
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1829383
Cà Phê Muối Chú Long - Cần Thơ,1520176
Cà Phê Muối Chú Long - Classic,2784624
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2604136
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1610012
Cà Phê Muối Chú Long - Đoàn Thị Điểm,697114
Cà Phê Muối Chú Long - Đội Cấn,8754612
Cà Phê Muối Chú Long - Đồng Xoài,486811
Cà Phê Muối Chú Long - Đường Láng,8474199
Cà Phê Muối Chú Long - Hà Huy Giáp,4061987
Cà Phê Muối Chú Long - Hậu Giang,5723031
Cà Phê Muối Chú Long - Hoàng Diệu,1662316
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2931759
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2830787
Cà Phê Muối Chú Long - Kha Vạn Cân,3331045
Cà Phê Muối Chú Long - Kiên Giang,274264
Cà Phê Muối Chú Long - Lạc Long Quân,2536242
Cà Phê Muối Chú Long - Lê Duẩn,1661091
Cà Phê Muối Chú Long - Lê Văn Sỹ,4870614
Cà Phê Muối Chú Long - Lê Văn Việt,2362017
Cà Phê Muối Chú Long - Long An,1005963
Cà Phê Muối Chú Long - Long Xuyên,465534
Cà Phê Muối Chú Long - Ngô Tất Tố,1764039
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,7225202
Cà Phê Muối Chú Long - Nguyễn Huệ,3981411
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2473112
Cà Phê Muối Chú Long - Nha Trang,3659440
Cà Phê Muối Chú Long - Phan Thiết,3751107
Cà Phê Muối Chú Long - Phan Văn Trị,2078079
Cà Phê Muối Chú Long - Quảng Ngãi,1248789
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,5483202
Cà Phê Muối Chú Long - Tây Ninh,519909
Cà Phê Muối Chú Long - Thanh Nhàn,10711578
Cà Phê Muối Chú Long - Thành Thái,7319326
Cà Phê Muối Chú Long - Thích Quảng Đức,899249
Cà Phê Muối Chú Long - Thuận An,1924072
Cà Phê Muối Chú Long - Tôn Đức Thắng,9863411
Cà Phê Muối Chú Long - Trà Vinh,860253
Cà Phê Muối Chú Long - Trần Hưng Đạo,1571196
Cà Phê Muối Chú Long - Trương Định,10301224
Cà Phê Muối Chú Long - Vĩnh Long,607940
Cà Phê Muối Chú Long - Võ Văn Kiệt,3100445
Cà Phê Muối Chú Long - Vũng Tàu,1175624
(blank),
Grand Total,175731246
