Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 101 Hùng Vương,52061
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1225065
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,458100
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1852593
Cà Phê Muối Chú Long - 3/26 Quang Trung,1855478
Cà Phê Muối Chú Long - 35 Trần Phú,576397
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,933531
Cà Phê Muối Chú Long - 417 Cộng Hoà,3267456
Cà Phê Muối Chú Long - 585 Quang Trung,4411809
Cà Phê Muối Chú Long - 59 Trường Chinh,2032670
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,617067
Cà Phê Muối Chú Long - An Dương Vương,3178454
Cà Phê Muối Chú Long - Bà Rịa,167787
Cà Phê Muối Chú Long - Bà Triệu,1121203
Cà Phê Muối Chú Long - Bạch Đằng,1482607
Cà Phê Muối Chú Long - Bến Tre,340356
Cà Phê Muối Chú Long - Bình Long,5334081
Cà Phê Muối Chú Long - Cà Mau,609942
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1572750
Cà Phê Muối Chú Long - Cần Thơ,908597
Cà Phê Muối Chú Long - Classic,2834798
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2109100
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1090840
Cà Phê Muối Chú Long - Đoàn Thị Điểm,448179
Cà Phê Muối Chú Long - Đội Cấn,6868405
Cà Phê Muối Chú Long - Đồng Xoài,561066
Cà Phê Muối Chú Long - Đường Láng,10627626
Cà Phê Muối Chú Long - Hà Huy Giáp,5023825
Cà Phê Muối Chú Long - Hậu Giang,5086405
Cà Phê Muối Chú Long - Hoàng Diệu,1225413
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2419251
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2463596
Cà Phê Muối Chú Long - Kha Vạn Cân,2114233
Cà Phê Muối Chú Long - Kiên Giang,510992
Cà Phê Muối Chú Long - Lạc Long Quân,2370795
Cà Phê Muối Chú Long - Lê Duẩn,997186
Cà Phê Muối Chú Long - Lê Văn Sỹ,4030124
Cà Phê Muối Chú Long - Lê Văn Việt,2093645
Cà Phê Muối Chú Long - Long An,1175957
Cà Phê Muối Chú Long - Long Xuyên,323116
Cà Phê Muối Chú Long - Ngô Tất Tố,964018
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5248222
Cà Phê Muối Chú Long - Nguyễn Huệ,4360977
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2198817
Cà Phê Muối Chú Long - Nha Trang,3746251
Cà Phê Muối Chú Long - Phan Thiết,2549882
Cà Phê Muối Chú Long - Phan Văn Trị,2383967
Cà Phê Muối Chú Long - Quảng Ngãi,1133986
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4760102
Cà Phê Muối Chú Long - Tây Ninh,483848
Cà Phê Muối Chú Long - Thanh Nhàn,10594224
Cà Phê Muối Chú Long - Thành Thái,5973309
Cà Phê Muối Chú Long - Thích Quảng Đức,862128
Cà Phê Muối Chú Long - Thuận An,986373
Cà Phê Muối Chú Long - Tôn Đức Thắng,8772930
Cà Phê Muối Chú Long - Trà Vinh,477369
Cà Phê Muối Chú Long - Trần Hưng Đạo,647217
Cà Phê Muối Chú Long - Trương Định,9141558
Cà Phê Muối Chú Long - Vĩnh Long,1209067
Cà Phê Muối Chú Long - Võ Văn Kiệt,3761650
Cà Phê Muối Chú Long - Vũng Tàu,2196627
(blank),
Grand Total,158825078
