Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 101 Hùng Vương,227860
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1431732
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,529700
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2250498
Cà Phê Muối Chú Long - 3/26 Quang Trung,1481600
Cà Phê Muối Chú Long - 35 Trần Phú,205564
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,666224
Cà Phê Muối Chú Long - 417 Cộng Hoà,2714224
Cà Phê Muối Chú Long - 585 Quang Trung,4720677
Cà Phê Muối Chú Long - 59 Trường Chinh,1637963
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,616736
Cà Phê Muối Chú Long - An Dương Vương,2736622
Cà Phê Muối Chú Long - Bà Rịa,101027
Cà Phê Muối Chú Long - Bà Triệu,558129
Cà Phê Muối Chú Long - Bạch Đằng,1687259
Cà Phê Muối Chú Long - Bến Tre,93557
Cà Phê Muối Chú Long - Bình Long,4110636
Cà Phê Muối Chú Long - Cà Mau,274374
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,2192627
Cà Phê Muối Chú Long - Cần Thơ,1173352
Cà Phê Muối Chú Long - Classic,2874574
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3050503
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,842108
Cà Phê Muối Chú Long - Đoàn Thị Điểm,194648
Cà Phê Muối Chú Long - Đội Cấn,9951146
Cà Phê Muối Chú Long - Đồng Xoài,466380
Cà Phê Muối Chú Long - Đường Láng,7618709
Cà Phê Muối Chú Long - Hà Huy Giáp,4086434
Cà Phê Muối Chú Long - Hậu Giang,5519204
Cà Phê Muối Chú Long - Hoàng Diệu,1378126
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3520522
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3161612
Cà Phê Muối Chú Long - Kha Vạn Cân,1714574
Cà Phê Muối Chú Long - Kiên Giang,668045
Cà Phê Muối Chú Long - Lạc Long Quân,1678597
Cà Phê Muối Chú Long - Lê Duẩn,1719041
Cà Phê Muối Chú Long - Lê Văn Sỹ,3992583
Cà Phê Muối Chú Long - Lê Văn Việt,2381361
Cà Phê Muối Chú Long - Long An,799800
Cà Phê Muối Chú Long - Long Xuyên,286453
Cà Phê Muối Chú Long - Ngô Tất Tố,1320290
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4703906
Cà Phê Muối Chú Long - Nguyễn Huệ,4587602
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2045511
Cà Phê Muối Chú Long - Nha Trang,4265192
Cà Phê Muối Chú Long - Phan Thiết,2038622
Cà Phê Muối Chú Long - Phan Văn Trị,3397476
Cà Phê Muối Chú Long - Quảng Ngãi,717501
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,3377453
Cà Phê Muối Chú Long - Tây Ninh,157547
Cà Phê Muối Chú Long - Thanh Nhàn,10978467
Cà Phê Muối Chú Long - Thành Thái,5536067
Cà Phê Muối Chú Long - Thích Quảng Đức,585647
Cà Phê Muối Chú Long - Thuận An,1136742
Cà Phê Muối Chú Long - Tôn Đức Thắng,9243008
Cà Phê Muối Chú Long - Trà Vinh,477104
Cà Phê Muối Chú Long - Trần Hưng Đạo,659978
Cà Phê Muối Chú Long - Trương Định,9721161
Cà Phê Muối Chú Long - Vĩnh Long,423712
Cà Phê Muối Chú Long - Võ Văn Kiệt,3742999
Cà Phê Muối Chú Long - Vũng Tàu,1470546
(blank),
Grand Total,155901312
