Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1443143
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,599606
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2471641
Cà Phê Muối Chú Long - 417 Cộng Hoà,2585084
Cà Phê Muối Chú Long - 59 Trường Chinh,1254209
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,611336
Cà Phê Muối Chú Long - An Dương Vương,3207765
Cà Phê Muối Chú Long - Bà Rịa,87334
Cà Phê Muối Chú Long - Bà Triệu,1018390
Cà Phê Muối Chú Long - Bạch Đằng,979234
Cà Phê Muối Chú Long - Bến Tre,347260
Cà Phê Muối Chú Long - Bình Long,4255039
Cà Phê Muối Chú Long - Cà Mau,337828
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1679908
Cà Phê Muối Chú Long - Cần Thơ,1397533
Cà Phê Muối Chú Long - Classic,2424234
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2609987
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1078945
Cà Phê Muối Chú Long - Đoàn Thị Điểm,155428
Cà Phê Muối Chú Long - Đội Cấn,7209862
Cà Phê Muối Chú Long - Đồng Xoài,411771
Cà Phê Muối Chú Long - Đường Láng,9162092
Cà Phê Muối Chú Long - Hà Huy Giáp,3123230
Cà Phê Muối Chú Long - Hậu Giang,3923806
Cà Phê Muối Chú Long - Hoàng Diệu,1058772
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2283552
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2291510
Cà Phê Muối Chú Long - Kha Vạn Cân,3177370
Cà Phê Muối Chú Long - Kiên Giang,625673
Cà Phê Muối Chú Long - Lạc Long Quân,1953862
Cà Phê Muối Chú Long - Lê Duẩn,1330763
Cà Phê Muối Chú Long - Long An,739977
Cà Phê Muối Chú Long - Long Xuyên,202020
Cà Phê Muối Chú Long - Ngô Tất Tố,1171446
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,6244244
Cà Phê Muối Chú Long - Nguyễn Huệ,4504281
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,3009870
Cà Phê Muối Chú Long - Nha Trang,3731053
Cà Phê Muối Chú Long - Phan Thiết,1922844
Cà Phê Muối Chú Long - Phan Văn Trị,1838849
Cà Phê Muối Chú Long - Quảng Ngãi,741674
Cà Phê Muối Chú Long - Tây Ninh,202962
Cà Phê Muối Chú Long - Thanh Nhàn,11563066
Cà Phê Muối Chú Long - Thích Quảng Đức,470058
Cà Phê Muối Chú Long - Thuận An,1606185
Cà Phê Muối Chú Long - Tôn Đức Thắng,8552992
Cà Phê Muối Chú Long - Trà Vinh,650005
Cà Phê Muối Chú Long - Trần Hưng Đạo,1391676
Cà Phê Muối Chú Long - Trương Định,9225811
Cà Phê Muối Chú Long - Vĩnh Long,681882
Cà Phê Muối Chú Long - Võ Văn Kiệt,3052990
Cà Phê Muối Chú Long - Vũng Tàu,1086487
(blank),
Grand Total,127686539
