Row Labels, Sum of Thực thu 
Cà Phê Muối Chú Long - 101 Hùng Vương," 150,146 "
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 1,641,769 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 272,255 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 2,052,970 "
Cà Phê Muối Chú Long - 3/26 Quang Trung," 2,255,838 "
Cà Phê Muối Chú Long - 35 Trần Phú," 300,294 "
Cà Phê Muối Chú Long - 368 Lê Đức Thọ," 1,076,298 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 2,495,290 "
Cà Phê Muối Chú Long - 585 Quang Trung," 5,416,217 "
Cà Phê Muối Chú Long - 59 Trường Chinh," 1,209,951 "
Cà Phê Muối Chú Long - 82 Ngô Gia Tự," 650,627 "
Cà Phê Muối Chú Long - An Dương Vương," 2,048,140 "
Cà Phê Muối Chú Long - Bà Rịa," 104,687 "
Cà Phê Muối Chú Long - Bà Triệu," 730,966 "
Cà Phê Muối Chú Long - Bạch Đằng," 762,617 "
Cà Phê Muối Chú Long - Bến Tre," 417,389 "
Cà Phê Muối Chú Long - Bình Long," 4,341,370 "
Cà Phê Muối Chú Long - Cà Mau," 290,560 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 1,651,651 "
Cà Phê Muối Chú Long - Cần Thơ," 1,276,853 "
Cà Phê Muối Chú Long - Classic," 2,557,832 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 2,912,640 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 1,270,454 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 135,850 "
Cà Phê Muối Chú Long - Đội Cấn," 6,956,922 "
Cà Phê Muối Chú Long - Đồng Xoài," 416,567 "
Cà Phê Muối Chú Long - Đường Láng," 5,995,942 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 3,851,208 "
Cà Phê Muối Chú Long - Hậu Giang," 4,499,316 "
Cà Phê Muối Chú Long - Hoàng Diệu," 1,099,455 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 2,920,621 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 2,378,461 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 2,363,644 "
Cà Phê Muối Chú Long - Kiên Giang," 422,068 "
Cà Phê Muối Chú Long - Lạc Long Quân," 2,205,313 "
Cà Phê Muối Chú Long - Lê Duẩn," 1,116,623 "
Cà Phê Muối Chú Long - Lê Văn Sỹ," 3,971,549 "
Cà Phê Muối Chú Long - Lê Văn Việt," 1,482,079 "
Cà Phê Muối Chú Long - Long An," 1,134,112 "
Cà Phê Muối Chú Long - Long Xuyên," 229,180 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 1,120,378 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 5,571,669 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 3,146,962 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 1,782,089 "
Cà Phê Muối Chú Long - Nha Trang," 2,367,523 "
Cà Phê Muối Chú Long - Phan Thiết," 2,271,083 "
Cà Phê Muối Chú Long - Phan Văn Trị," 2,781,785 "
Cà Phê Muối Chú Long - Quảng Ngãi," 825,125 "
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý," 3,674,438 "
Cà Phê Muối Chú Long - Tây Ninh," 528,369 "
Cà Phê Muối Chú Long - Thanh Nhàn," 9,607,455 "
Cà Phê Muối Chú Long - Thành Thái," 6,117,469 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 698,097 "
Cà Phê Muối Chú Long - Thuận An," 1,382,029 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 8,541,163 "
Cà Phê Muối Chú Long - Trà Vinh," 649,892 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 583,751 "
Cà Phê Muối Chú Long - Trương Định," 10,002,158 "
Cà Phê Muối Chú Long - Vĩnh Long," 843,375 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 4,004,347 "
Cà Phê Muối Chú Long - Vũng Tàu," 1,050,607 "
(blank),
Grand Total," 144,615,488 "
