Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1535631
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,415432
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1931368
Cà Phê Muối Chú Long - 3/26 Quang Trung,2199135
Cà Phê Muối Chú Long - 35 Trần Phú,181008
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,368953
Cà Phê Muối Chú Long - 417 Cộng Hoà,2242852
Cà Phê Muối Chú Long - 585 Quang Trung,5168381
Cà Phê Muối Chú Long - 59 Trường Chinh,2260039
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,573275
Cà Phê Muối Chú Long - An Dương Vương,4136192
Cà Phê Muối Chú Long - Bà Rịa,61870
Cà Phê Muối Chú Long - Bà Triệu,787065
Cà Phê Muối Chú Long - Bạch Đằng,1317367
Cà Phê Muối Chú Long - Bến Tre,433236
Cà Phê Muối Chú Long - Bình Long,5418687
Cà Phê Muối Chú Long - Cà Mau,347826
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1431526
Cà Phê Muối Chú Long - Cần Thơ,1831183
Cà Phê Muối Chú Long - Classic,3388128
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2190270
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1057171
Cà Phê Muối Chú Long - Đoàn Thị Điểm,190138
Cà Phê Muối Chú Long - Đội Cấn,8050046
Cà Phê Muối Chú Long - Đồng Xoài,581854
Cà Phê Muối Chú Long - Đường Láng,9040331
Cà Phê Muối Chú Long - Hà Huy Giáp,5370654
Cà Phê Muối Chú Long - Hậu Giang,5224552
Cà Phê Muối Chú Long - Hoàng Diệu,1138592
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2832599
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2498996
Cà Phê Muối Chú Long - Kha Vạn Cân,2267408
Cà Phê Muối Chú Long - Kiên Giang,640335
Cà Phê Muối Chú Long - Lạc Long Quân,1764201
Cà Phê Muối Chú Long - Lê Duẩn,1231385
Cà Phê Muối Chú Long - Lê Văn Sỹ,3225830
Cà Phê Muối Chú Long - Lê Văn Việt,2151856
Cà Phê Muối Chú Long - Long An,1040941
Cà Phê Muối Chú Long - Long Xuyên,250723
Cà Phê Muối Chú Long - Ngô Tất Tố,1552477
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4329059
Cà Phê Muối Chú Long - Nguyễn Huệ,3552609
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,3247202
Cà Phê Muối Chú Long - Nha Trang,4229649
Cà Phê Muối Chú Long - Phan Thiết,2474467
Cà Phê Muối Chú Long - Phan Văn Trị,2227458
Cà Phê Muối Chú Long - Quảng Ngãi,1136814
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4206525
Cà Phê Muối Chú Long - Tây Ninh,300640
Cà Phê Muối Chú Long - Thanh Nhàn,9351185
Cà Phê Muối Chú Long - Thành Thái,5860220
Cà Phê Muối Chú Long - Thích Quảng Đức,845517
Cà Phê Muối Chú Long - Thuận An,1187096
Cà Phê Muối Chú Long - Tôn Đức Thắng,8212656
Cà Phê Muối Chú Long - Trà Vinh,556073
Cà Phê Muối Chú Long - Trần Hưng Đạo,1217513
Cà Phê Muối Chú Long - Trương Định,8779244
Cà Phê Muối Chú Long - Vĩnh Long,1014546
Cà Phê Muối Chú Long - Võ Văn Kiệt,4217831
Cà Phê Muối Chú Long - Vũng Tàu,921162
(blank),
Grand Total,156196979
