Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 101 Hùng Vương,286710
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1226683
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,440288
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1514922
Cà Phê Muối Chú Long - 3/26 Quang Trung,1469604
Cà Phê Muối Chú Long - 35 Trần Phú,239784
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,581913
Cà Phê Muối Chú Long - 417 Cộng Hoà,2918980
Cà Phê Muối Chú Long - 585 Quang Trung,4303396
Cà Phê Muối Chú Long - 59 Trường Chinh,1441126
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,256945
Cà Phê Muối Chú Long - An Dương Vương,2528957
Cà Phê Muối Chú Long - Bà Triệu,622730
Cà Phê Muối Chú Long - Bạch Đằng,984252
Cà Phê Muối Chú Long - Bến Tre,384456
Cà Phê Muối Chú Long - Bình Long,3380780
Cà Phê Muối Chú Long - Cà Mau,495858
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1769926
Cà Phê Muối Chú Long - Cần Thơ,1052594
Cà Phê Muối Chú Long - Classic,2778227
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3629658
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1165657
Cà Phê Muối Chú Long - Đoàn Thị Điểm,123097
Cà Phê Muối Chú Long - Đội Cấn,6564224
Cà Phê Muối Chú Long - Đồng Xoài,515719
Cà Phê Muối Chú Long - Đường Láng,11159008
Cà Phê Muối Chú Long - Hà Huy Giáp,5177544
Cà Phê Muối Chú Long - Hậu Giang,4942457
Cà Phê Muối Chú Long - Hoàng Diệu,1351768
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2334027
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3353190
Cà Phê Muối Chú Long - Kha Vạn Cân,1891120
Cà Phê Muối Chú Long - Kiên Giang,172253
Cà Phê Muối Chú Long - Lạc Long Quân,2098221
Cà Phê Muối Chú Long - Lê Duẩn,1713772
Cà Phê Muối Chú Long - Lê Văn Sỹ,4561771
Cà Phê Muối Chú Long - Lê Văn Việt,2189131
Cà Phê Muối Chú Long - Long An,1216988
Cà Phê Muối Chú Long - Long Xuyên,215372
Cà Phê Muối Chú Long - Ngô Tất Tố,937123
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4292911
Cà Phê Muối Chú Long - Nguyễn Huệ,4632552
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2216233
Cà Phê Muối Chú Long - Nha Trang,3051732
Cà Phê Muối Chú Long - Phan Thiết,1902625
Cà Phê Muối Chú Long - Phan Văn Trị,3053648
Cà Phê Muối Chú Long - Quảng Ngãi,486992
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4791303
Cà Phê Muối Chú Long - Tây Ninh,400421
Cà Phê Muối Chú Long - Thanh Nhàn,8649948
Cà Phê Muối Chú Long - Thành Thái,5797405
Cà Phê Muối Chú Long - Thích Quảng Đức,412096
Cà Phê Muối Chú Long - Thuận An,1702653
Cà Phê Muối Chú Long - Tôn Đức Thắng,8725918
Cà Phê Muối Chú Long - Trà Vinh,400490
Cà Phê Muối Chú Long - Trần Hưng Đạo,996500
Cà Phê Muối Chú Long - Trương Định,8781997
Cà Phê Muối Chú Long - Vĩnh Long,476144
Cà Phê Muối Chú Long - Võ Văn Kiệt,3284778
Cà Phê Muối Chú Long - Vũng Tàu,1049917
(blank),
Grand Total,149096494
