Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1656707
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,416562
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2403117
Cà Phê Muối Chú Long - 417 Cộng Hoà,2921256
Cà Phê Muối Chú Long - An Dương Vương,2180303
Cà Phê Muối Chú Long - Bà Rịa,150900
Cà Phê Muối Chú Long - Bà Triệu,503819
Cà Phê Muối Chú Long - Bạch Đằng,577137
Cà Phê Muối Chú Long - Bến Tre,93557
Cà Phê Muối Chú Long - Bình Long,4107852
Cà Phê Muối Chú Long - Cà Mau,210505
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1349890
Cà Phê Muối Chú Long - Cần Thơ,1617202
Cà Phê Muối Chú Long - Classic,1958722
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1960298
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1128176
Cà Phê Muối Chú Long - Đoàn Thị Điểm,282185
Cà Phê Muối Chú Long - Đội Cấn,7890565
Cà Phê Muối Chú Long - Đồng Xoài,470811
Cà Phê Muối Chú Long - Đường Láng,10973453
Cà Phê Muối Chú Long - Hà Huy Giáp,4857797
Cà Phê Muối Chú Long - Hậu Giang,3738351
Cà Phê Muối Chú Long - Hoàng Diệu,1296617
Cà Phê Muối Chú Long - Hùng Vương,462320
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2961090
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2673407
Cà Phê Muối Chú Long - Kha Vạn Cân,1783349
Cà Phê Muối Chú Long - Kiên Giang,398188
Cà Phê Muối Chú Long - Lạc Long Quân,2049553
Cà Phê Muối Chú Long - Lê Duẩn,919369
Cà Phê Muối Chú Long - Long An,329340
Cà Phê Muối Chú Long - Long Xuyên,376120
Cà Phê Muối Chú Long - Ngô Tất Tố,1379649
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5540171
Cà Phê Muối Chú Long - Nguyễn Huệ,4306620
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1864361
Cà Phê Muối Chú Long - Nha Trang,2842786
Cà Phê Muối Chú Long - Phan Thiết,1679509
Cà Phê Muối Chú Long - Phan Văn Trị,1980891
Cà Phê Muối Chú Long - Quảng Ngãi,777513
Cà Phê Muối Chú Long - Tây Ninh,293877
Cà Phê Muối Chú Long - Thanh Nhàn,10887618
Cà Phê Muối Chú Long - Thích Quảng Đức,1393341
Cà Phê Muối Chú Long - Thuận An,562823
Cà Phê Muối Chú Long - Tiền Giang,545504
Cà Phê Muối Chú Long - Tôn Đức Thắng,9741766
Cà Phê Muối Chú Long - Trà Vinh,519473
Cà Phê Muối Chú Long - Trần Hưng Đạo,475526
Cà Phê Muối Chú Long - Trương Định,9107657
Cà Phê Muối Chú Long - Vĩnh Long,301800
Cà Phê Muối Chú Long - Võ Văn Kiệt,2726596
Cà Phê Muối Chú Long - Vũng Tàu,769595
(blank),
Grand Total,122395594
