Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1270208
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,285767
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1797388
Cà Phê Muối Chú Long - 417 Cộng Hoà,3121695
Cà Phê Muối Chú Long - An Dương Vương,2137052
Cà Phê Muối Chú Long - Bà Rịa,79978
Cà Phê Muối Chú Long - Bà Triệu,700647
Cà Phê Muối Chú Long - Bạch Đằng,682091
Cà Phê Muối Chú Long - Bến Tre,199001
Cà Phê Muối Chú Long - Bình Long,4534672
Cà Phê Muối Chú Long - Cà Mau,171084
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1399494
Cà Phê Muối Chú Long - Cần Thơ,1025940
Cà Phê Muối Chú Long - Classic,2474100
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1221111
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1460702
Cà Phê Muối Chú Long - Đoàn Thị Điểm,272944
Cà Phê Muối Chú Long - Đội Cấn,1693298
Cà Phê Muối Chú Long - Đồng Xoài,425916
Cà Phê Muối Chú Long - Đường Láng,4001606
Cà Phê Muối Chú Long - Hà Huy Giáp,3739924
Cà Phê Muối Chú Long - Hậu Giang,4376087
Cà Phê Muối Chú Long - Hoàng Diệu,825807
Cà Phê Muối Chú Long - Hùng Vương,366878
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1842147
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2872781
Cà Phê Muối Chú Long - Kha Vạn Cân,2283624
Cà Phê Muối Chú Long - Kiên Giang,348299
Cà Phê Muối Chú Long - Lạc Long Quân,2497182
Cà Phê Muối Chú Long - Lê Duẩn,1117989
Cà Phê Muối Chú Long - Long An,554937
Cà Phê Muối Chú Long - Long Xuyên,114497
Cà Phê Muối Chú Long - Ngô Tất Tố,802134
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4292613
Cà Phê Muối Chú Long - Nguyễn Huệ,3205800
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1190420
Cà Phê Muối Chú Long - Nha Trang,3332645
Cà Phê Muối Chú Long - Phan Thiết,1790425
Cà Phê Muối Chú Long - Phan Văn Trị,2374948
Cà Phê Muối Chú Long - Quảng Ngãi,970816
Cà Phê Muối Chú Long - Tây Ninh,200508
Cà Phê Muối Chú Long - Thanh Nhàn,5204143
Cà Phê Muối Chú Long - Thích Quảng Đức,867683
Cà Phê Muối Chú Long - Thuận An,568292
Cà Phê Muối Chú Long - Tiền Giang,158257
Cà Phê Muối Chú Long - Tôn Đức Thắng,3606682
Cà Phê Muối Chú Long - Trà Vinh,416204
Cà Phê Muối Chú Long - Trần Hưng Đạo,683583
Cà Phê Muối Chú Long - Trương Định,3829038
Cà Phê Muối Chú Long - Vĩnh Long,461754
Cà Phê Muối Chú Long - Võ Văn Kiệt,2200780
Cà Phê Muối Chú Long - Vũng Tàu,1141791
(blank),
Grand Total,87193362
