Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,424031
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,262567
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1140809
Cà Phê Muối Chú Long - 417 Cộng Hoà,2031872
Cà Phê Muối Chú Long - An Dương Vương,2732808
Cà Phê Muối Chú Long - Bà Triệu,487409
Cà Phê Muối Chú Long - Bạch Đằng,770347
Cà Phê Muối Chú Long - Bến Tre,199944
Cà Phê Muối Chú Long - Bình Long,2612089
Cà Phê Muối Chú Long - Cà Mau,103367
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,626237
Cà Phê Muối Chú Long - Cần Thơ,1342263
Cà Phê Muối Chú Long - Classic,1556538
Cà Phê Muối Chú Long - Công Trường Quốc Tế,962746
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,936337
Cà Phê Muối Chú Long - Đoàn Thị Điểm,604356
Cà Phê Muối Chú Long - Đội Cấn,1413183
Cà Phê Muối Chú Long - Đồng Xoài,376496
Cà Phê Muối Chú Long - Đường Láng,2146560
Cà Phê Muối Chú Long - Hà Huy Giáp,2120908
Cà Phê Muối Chú Long - Hậu Giang,4547389
Cà Phê Muối Chú Long - Hoàng Diệu,772613
Cà Phê Muối Chú Long - Hùng Vương,353861
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1308307
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2026593
Cà Phê Muối Chú Long - Kha Vạn Cân,1731582
Cà Phê Muối Chú Long - Kiên Giang,889559
Cà Phê Muối Chú Long - Lạc Long Quân,2143542
Cà Phê Muối Chú Long - Lê Duẩn,778646
Cà Phê Muối Chú Long - Long An,626992
Cà Phê Muối Chú Long - Long Xuyên,153165
Cà Phê Muối Chú Long - Ngô Tất Tố,519853
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3249641
Cà Phê Muối Chú Long - Nguyễn Huệ,2397056
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1415448
Cà Phê Muối Chú Long - Nha Trang,4314246
Cà Phê Muối Chú Long - Phan Thiết,1173255
Cà Phê Muối Chú Long - Phan Văn Trị,2882200
Cà Phê Muối Chú Long - Quảng Ngãi,738659
Cà Phê Muối Chú Long - Tây Ninh,106385
Cà Phê Muối Chú Long - Thanh Nhàn,4062997
Cà Phê Muối Chú Long - Thích Quảng Đức,488918
Cà Phê Muối Chú Long - Thuận An,288975
Cà Phê Muối Chú Long - Tiền Giang,247477
Cà Phê Muối Chú Long - Tôn Đức Thắng,2414407
Cà Phê Muối Chú Long - Trà Vinh,366688
Cà Phê Muối Chú Long - Trần Hưng Đạo,164482
Cà Phê Muối Chú Long - Trương Định,945392
Cà Phê Muối Chú Long - Vĩnh Long,524380
Cà Phê Muối Chú Long - Võ Văn Kiệt,877487
Cà Phê Muối Chú Long - Vũng Tàu,1524849
(blank),
Grand Total,66885911
