Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1322272
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,838139
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1849751
Cà Phê Muối Chú Long - 417 Cộng Hoà,4236735
Cà Phê Muối Chú Long - An Dương Vương,3935608
Cà Phê Muối Chú Long - Bà Rịa,86014
Cà Phê Muối Chú Long - Bà Triệu,500049
Cà Phê Muối Chú Long - Bạch Đằng,529961
Cà Phê Muối Chú Long - Bến Tre,641329
Cà Phê Muối Chú Long - Bình Long,5422063
Cà Phê Muối Chú Long - Cà Mau,349148
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1427941
Cà Phê Muối Chú Long - Cần Thơ,2015787
Cà Phê Muối Chú Long - Classic,2101399
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3161795
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1261723
Cà Phê Muối Chú Long - Đoàn Thị Điểm,405171
Cà Phê Muối Chú Long - Đội Cấn,5511874
Cà Phê Muối Chú Long - Đồng Xoài,1003243
Cà Phê Muối Chú Long - Đường Láng,5343982
Cà Phê Muối Chú Long - Hà Huy Giáp,3118291
Cà Phê Muối Chú Long - Hậu Giang,6126950
Cà Phê Muối Chú Long - Hoàng Diệu,886543
Cà Phê Muối Chú Long - Hùng Vương,299160
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2230317
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3161306
Cà Phê Muối Chú Long - Kha Vạn Cân,1909352
Cà Phê Muối Chú Long - Kiên Giang,1115536
Cà Phê Muối Chú Long - Lạc Long Quân,2093973
Cà Phê Muối Chú Long - Lê Duẩn,1347734
Cà Phê Muối Chú Long - Long An,554185
Cà Phê Muối Chú Long - Long Xuyên,268793
Cà Phê Muối Chú Long - Ngô Tất Tố,724438
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5633246
Cà Phê Muối Chú Long - Nguyễn Huệ,3981036
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1625393
Cà Phê Muối Chú Long - Nha Trang,3457885
Cà Phê Muối Chú Long - Phan Thiết,2161636
Cà Phê Muối Chú Long - Phan Văn Trị,3461779
Cà Phê Muối Chú Long - Quảng Ngãi,1149864
Cà Phê Muối Chú Long - Tây Ninh,373744
Cà Phê Muối Chú Long - Thanh Nhàn,8665723
Cà Phê Muối Chú Long - Thích Quảng Đức,743206
Cà Phê Muối Chú Long - Thuận An,1456664
Cà Phê Muối Chú Long - Tiền Giang,1146090
Cà Phê Muối Chú Long - Tôn Đức Thắng,7583161
Cà Phê Muối Chú Long - Trà Vinh,622883
Cà Phê Muối Chú Long - Trần Hưng Đạo,538678
Cà Phê Muối Chú Long - Trương Định,6390330
Cà Phê Muối Chú Long - Vĩnh Long,747523
Cà Phê Muối Chú Long - Võ Văn Kiệt,3990085
Cà Phê Muối Chú Long - Vũng Tàu,2029449
(blank),
Grand Total," 121,538,937 "
,183251
