Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1074226
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,239176
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2999722
Cà Phê Muối Chú Long - 417 Cộng Hoà,2645006
Cà Phê Muối Chú Long - An Dương Vương,516080
Cà Phê Muối Chú Long - Bà Triệu,1018390
Cà Phê Muối Chú Long - Bến Tre,226350
Cà Phê Muối Chú Long - Bình Long,3554281
Cà Phê Muối Chú Long - Cà Mau,329152
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1039046
Cà Phê Muối Chú Long - Cần Thơ,1153828
Cà Phê Muối Chú Long - Classic,1958694
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2494491
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1826088
Cà Phê Muối Chú Long - Đoàn Thị Điểm,189474
Cà Phê Muối Chú Long - Đội Cấn,5831655
Cà Phê Muối Chú Long - Đồng Xoài,364237
Cà Phê Muối Chú Long - Đường Láng,6224657
Cà Phê Muối Chú Long - Hà Huy Giáp,3266713
Cà Phê Muối Chú Long - Hậu Giang,3468837
Cà Phê Muối Chú Long - Hoàng Diệu,419127
Cà Phê Muối Chú Long - Hùng Vương,267849
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1517781
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2844480
Cà Phê Muối Chú Long - Kiên Giang,334623
Cà Phê Muối Chú Long - Kha Vạn Cân,1663118
Cà Phê Muối Chú Long - Lạc Long Quân,1485807
Cà Phê Muối Chú Long - Lê Duẩn,1264926
Cà Phê Muối Chú Long - Long An,698783
Cà Phê Muối Chú Long - Long Xuyên,179193
Cà Phê Muối Chú Long - Ngô Tất Tố,464492
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3139305
Cà Phê Muối Chú Long - Nguyễn Huệ,3426200
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1295615
Cà Phê Muối Chú Long - Phan Thiết,1825889
Cà Phê Muối Chú Long - Quảng Ngãi,930299
Cà Phê Muối Chú Long - Tây Ninh,326699
Cà Phê Muối Chú Long - Tiền Giang,424973
Cà Phê Muối Chú Long - Tôn Đức Thắng,6243903
Cà Phê Muối Chú Long - Thanh Nhàn,8013026
Cà Phê Muối Chú Long - Thích Quảng Đức,781004
Cà Phê Muối Chú Long - Thuận An,601244
Cà Phê Muối Chú Long - Trà Vinh,478922
Cà Phê Muối Chú Long - Trần Hưng Đạo,444968
Cà Phê Muối Chú Long - Trương Định,6718860
Cà Phê Muối Chú Long - Vĩnh Long,264830
Cà Phê Muối Chú Long - Võ Văn Kiệt,1706027
Cà Phê Muối Chú Long - Vũng Tàu,1072905
(blank),
Grand Total,89254951
