Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,931061
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,263699
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,4057912
Cà Phê Muối Chú Long - 417 Cộng Hoà,2870792
Cà Phê Muối Chú Long - An Dương Vương,943130
Cà Phê Muối Chú Long - Bà Rịa,101669
Cà Phê Muối Chú Long - Bến Tre,204846
Cà Phê Muối Chú Long - Bình Long,3537212
Cà Phê Muối Chú Long - Cà Mau,225030
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,639821
Cà Phê Muối Chú Long - Cần Thơ,1089880
Cà Phê Muối Chú Long - Classic,969727
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2577195
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,877959
Cà Phê Muối Chú Long - Đội Cấn,7676620
Cà Phê Muối Chú Long - Đồng Xoài,327078
Cà Phê Muối Chú Long - Đường Láng,9362536
Cà Phê Muối Chú Long - Hà Huy Giáp,2555782
Cà Phê Muối Chú Long - Hậu Giang,3523718
Cà Phê Muối Chú Long - Hoàng Diệu,535510
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1669051
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2787424
Cà Phê Muối Chú Long - Kiên Giang,357255
Cà Phê Muối Chú Long - Kha Vạn Cân,1690277
Cà Phê Muối Chú Long - Lạc Long Quân,1778079
Cà Phê Muối Chú Long - Lê Duẩn,1026879
Cà Phê Muối Chú Long - Long An,908041
Cà Phê Muối Chú Long - Long Xuyên,260681
Cà Phê Muối Chú Long - Ngô Tất Tố,621709
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5408003
Cà Phê Muối Chú Long - Nguyễn Huệ,4675471
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1611715
Cà Phê Muối Chú Long - Phan Thiết,1408077
Cà Phê Muối Chú Long - Quảng Ngãi,1194092
Cà Phê Muối Chú Long - Tây Ninh,35462
Cà Phê Muối Chú Long - Tiền Giang,391588
Cà Phê Muối Chú Long - Tôn Đức Thắng,7804774
Cà Phê Muối Chú Long - Thanh Nhàn,10962175
Cà Phê Muối Chú Long - Thích Quảng Đức,732999
Cà Phê Muối Chú Long - Thuận An,1412430
Cà Phê Muối Chú Long - Trà Vinh,654530
Cà Phê Muối Chú Long - Trần Hưng Đạo,803924
Cà Phê Muối Chú Long - Trương Định,8130435
Cà Phê Muối Chú Long - Vĩnh Long,159388
Cà Phê Muối Chú Long - Võ Văn Kiệt,1979344
Cà Phê Muối Chú Long - Vũng Tàu,930680
(blank),
Grand Total,102665660
