Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,764315
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,215390
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3271568
Cà Phê Muối Chú Long - 417 Cộng Hoà,2187877
Cà Phê Muối Chú Long - Bà Rịa,270120
Cà Phê Muối Chú Long - Bà Triệu,1130969
Cà Phê Muối Chú Long - Bến Tre,183908
Cà Phê Muối Chú Long - Bình Long,3628216
Cà Phê Muối Chú Long - Cà Mau,301959
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1047969
Cà Phê Muối Chú Long - Cần Thơ,2249507
Cà Phê Muối Chú Long - Classic,1842578
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2317123
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,3019746
Cà Phê Muối Chú Long - Đoàn Thị Điểm,471564
Cà Phê Muối Chú Long - Đội Cấn,7583284
Cà Phê Muối Chú Long - Đồng Xoài,438632
Cà Phê Muối Chú Long - Đường Láng,7295776
Cà Phê Muối Chú Long - Hà Huy Giáp,3146250
Cà Phê Muối Chú Long - Hậu Giang,5247004
Cà Phê Muối Chú Long - Hoàng Diệu,636315
Cà Phê Muối Chú Long - Hùng Vương,380833
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1933410
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3405946
Cà Phê Muối Chú Long - Kiên Giang,770317
Cà Phê Muối Chú Long - Kha Vạn Cân,1764600
Cà Phê Muối Chú Long - Lạc Long Quân,957051
Cà Phê Muối Chú Long - Lê Duẩn,1764871
Cà Phê Muối Chú Long - Long An,994242
Cà Phê Muối Chú Long - Long Xuyên,262282
Cà Phê Muối Chú Long - Ngô Tất Tố,1005792
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,6452589
Cà Phê Muối Chú Long - Nguyễn Huệ,5120625
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1622938
Cà Phê Muối Chú Long - Phan Thiết,1912419
Cà Phê Muối Chú Long - Quảng Ngãi,1738338
Cà Phê Muối Chú Long - Tây Ninh,150523
Cà Phê Muối Chú Long - Tiền Giang,337421
Cà Phê Muối Chú Long - Tôn Đức Thắng,9909446
Cà Phê Muối Chú Long - Thanh Nhàn,11213683
Cà Phê Muối Chú Long - Thích Quảng Đức,779966
Cà Phê Muối Chú Long - Thuận An,556187
Cà Phê Muối Chú Long - Trà Vinh,511851
Cà Phê Muối Chú Long - Trần Hưng Đạo,312403
Cà Phê Muối Chú Long - Trương Định,7058264
Cà Phê Muối Chú Long - Vĩnh Long,689536
Cà Phê Muối Chú Long - Võ Văn Kiệt,1539416
Cà Phê Muối Chú Long - Vũng Tàu,904725
(blank),
Grand Total,111299744
