Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,614923
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,60926
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3093940
Cà Phê Muối Chú Long - 417 Cộng Hoà,2919927
Cà Phê Muối Chú Long - An Dương Vương,587005
Cà Phê Muối Chú Long - Bà Rịa,16410
Cà Phê Muối Chú Long - Bến Tre,16410
Cà Phê Muối Chú Long - Bình Long,2967654
Cà Phê Muối Chú Long - Cà Mau,399131
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,966897
Cà Phê Muối Chú Long - Cần Thơ,1294348
Cà Phê Muối Chú Long - Classic,516080
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2567103
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1197208
Cà Phê Muối Chú Long - Đội Cấn,4802882
Cà Phê Muối Chú Long - Đồng Xoài,344619
Cà Phê Muối Chú Long - Đường Láng,3971232
Cà Phê Muối Chú Long - Hà Huy Giáp,3470051
Cà Phê Muối Chú Long - Hậu Giang,4644061
Cà Phê Muối Chú Long - Hoàng Diệu,500616
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1564653
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3385738
Cà Phê Muối Chú Long - Kiên Giang,339526
Cà Phê Muối Chú Long - Kha Vạn Cân,1378290
Cà Phê Muối Chú Long - Lạc Long Quân,1132887
Cà Phê Muối Chú Long - Lê Duẩn,691123
Cà Phê Muối Chú Long - Long An,968026
Cà Phê Muối Chú Long - Long Xuyên,329907
Cà Phê Muối Chú Long - Ngô Tất Tố,1098934
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5132607
Cà Phê Muối Chú Long - Nguyễn Huệ,4318402
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2520795
Cà Phê Muối Chú Long - Phan Thiết,1510125
Cà Phê Muối Chú Long - Quảng Ngãi,777890
Cà Phê Muối Chú Long - Tây Ninh,59228
Cà Phê Muối Chú Long - Tiền Giang,387438
Cà Phê Muối Chú Long - Tôn Đức Thắng,3522587
Cà Phê Muối Chú Long - Thanh Nhàn,9367067
Cà Phê Muối Chú Long - Thích Quảng Đức,537585
Cà Phê Muối Chú Long - Thuận An,789397
Cà Phê Muối Chú Long - Trà Vinh,464773
Cà Phê Muối Chú Long - Trần Hưng Đạo,585495
Cà Phê Muối Chú Long - Trương Định,5396675
Cà Phê Muối Chú Long - Vĩnh Long,520984
Cà Phê Muối Chú Long - Võ Văn Kiệt,2122798
Cà Phê Muối Chú Long - Vũng Tàu,551636
(blank),
Grand Total,84405989
