Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,622089
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,460622
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1926257
Cà Phê Muối Chú Long - 417 Cộng Hoà,3393006
Cà Phê Muối Chú Long - An Dương Vương,709987
Cà Phê Muối Chú Long - Bà Rịa,16410
Cà Phê Muối Chú Long - Bà Triệu,317834
Cà Phê Muối Chú Long - Bến Tre,242006
Cà Phê Muối Chú Long - Bình Long,4567779
Cà Phê Muối Chú Long - Cà Mau,146562
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1018960
Cà Phê Muối Chú Long - Cần Thơ,1485238
Cà Phê Muối Chú Long - Classic,1274357
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1495429
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1899092
Cà Phê Muối Chú Long - Đoàn Thị Điểm,36971
Cà Phê Muối Chú Long - Đội Cấn,4235035
Cà Phê Muối Chú Long - Đồng Xoài,596057
Cà Phê Muối Chú Long - Đường Láng,6088480
Cà Phê Muối Chú Long - Hà Huy Giáp,4852394
Cà Phê Muối Chú Long - Hậu Giang,4247862
Cà Phê Muối Chú Long - Hoàng Diệu,936154
Cà Phê Muối Chú Long - Hùng Vương,415732
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1864761
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2087349
Cà Phê Muối Chú Long - Kiên Giang,335377
Cà Phê Muối Chú Long - Kha Vạn Cân,1518825
Cà Phê Muối Chú Long - Lạc Long Quân,2215981
Cà Phê Muối Chú Long - Lê Duẩn,962370
Cà Phê Muối Chú Long - Long An,400075
Cà Phê Muối Chú Long - Long Xuyên,93180
Cà Phê Muối Chú Long - Ngô Tất Tố,1015942
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4155437
Cà Phê Muối Chú Long - Nguyễn Huệ,3094375
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1545224
Cà Phê Muối Chú Long - Phan Thiết,1416004
Cà Phê Muối Chú Long - Quảng Ngãi,750734
Cà Phê Muối Chú Long - Tây Ninh,210507
Cà Phê Muối Chú Long - Tiền Giang,250117
Cà Phê Muối Chú Long - Tôn Đức Thắng,5968517
Cà Phê Muối Chú Long - Thanh Nhàn,8574191
Cà Phê Muối Chú Long - Thích Quảng Đức,1321887
Cà Phê Muối Chú Long - Thuận An,891444
Cà Phê Muối Chú Long - Trà Vinh,434217
Cà Phê Muối Chú Long - Trần Hưng Đạo,995941
Cà Phê Muối Chú Long - Trương Định,7197970
Cà Phê Muối Chú Long - Vĩnh Long,204092
Cà Phê Muối Chú Long - Võ Văn Kiệt,2652084
Cà Phê Muối Chú Long - Vũng Tàu,894843
(blank),
Grand Total,92035757
