Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,960864
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,366122
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2543439
Cà Phê Muối Chú Long - 417 Cộng Hoà,2832790
Cà Phê Muối Chú Long - An Dương Vương,934830
Cà Phê Muối Chú Long - Bà Triệu,421203
Cà Phê Muối Chú Long - Bến Tre,258794
Cà Phê Muối Chú Long - Bình Long,4373115
Cà Phê Muối Chú Long - Cà Mau,330092
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1079702
Cà Phê Muối Chú Long - Cần Thơ,1167593
Cà Phê Muối Chú Long - Classic,1419983
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1741022
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,2032262
Cà Phê Muối Chú Long - Đoàn Thị Điểm,293125
Cà Phê Muối Chú Long - Đội Cấn,5849293
Cà Phê Muối Chú Long - Đồng Xoài,431577
Cà Phê Muối Chú Long - Đường Láng,7070470
Cà Phê Muối Chú Long - Hà Huy Giáp,4408567
Cà Phê Muối Chú Long - Hậu Giang,4915975
Cà Phê Muối Chú Long - Hoàng Diệu,884846
Cà Phê Muối Chú Long - Hùng Vương,476847
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2815058
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3124033
Cà Phê Muối Chú Long - Kiên Giang,435536
Cà Phê Muối Chú Long - Kha Vạn Cân,2164682
Cà Phê Muối Chú Long - Lạc Long Quân,1652364
Cà Phê Muối Chú Long - Lê Duẩn,864852
Cà Phê Muối Chú Long - Long An,741488
Cà Phê Muối Chú Long - Long Xuyên,136187
Cà Phê Muối Chú Long - Ngô Tất Tố,1156280
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3479409
Cà Phê Muối Chú Long - Nguyễn Huệ,4243703
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1605965
Cà Phê Muối Chú Long - Phan Thiết,1702524
Cà Phê Muối Chú Long - Quảng Ngãi,1731970
Cà Phê Muối Chú Long - Tây Ninh,233141
Cà Phê Muối Chú Long - Tiền Giang,255776
Cà Phê Muối Chú Long - Tôn Đức Thắng,6985582
Cà Phê Muối Chú Long - Thanh Nhàn,7946826
Cà Phê Muối Chú Long - Thích Quảng Đức,995944
Cà Phê Muối Chú Long - Thuận An,810899
Cà Phê Muối Chú Long - Trà Vinh,323495
Cà Phê Muối Chú Long - Trương Định,7549948
Cà Phê Muối Chú Long - Vĩnh Long,256342
Cà Phê Muối Chú Long - Võ Văn Kiệt,2253708
Cà Phê Muối Chú Long - Vũng Tàu,1069134
(blank),
Grand Total,99327357
