Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,603985
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,298781
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3210799
Cà Phê Muối Chú Long - 417 Cộng Hoà,2447608
Cà Phê Muối Chú Long - An Dương Vương,866924
Cà Phê Muối Chú Long - Bà Rịa,44327
Cà Phê Muối Chú Long - Bến Tre,163727
Cà Phê Muối Chú Long - Bình Long,3294927
Cà Phê Muối Chú Long - Cà Mau,362348
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,682073
Cà Phê Muối Chú Long - Cần Thơ,1593544
Cà Phê Muối Chú Long - Classic,1111383
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1268548
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1223807
Cà Phê Muối Chú Long - Đội Cấn,3992452
Cà Phê Muối Chú Long - Đồng Xoài,476092
Cà Phê Muối Chú Long - Đường Láng,5662920
Cà Phê Muối Chú Long - Hà Huy Giáp,4574551
Cà Phê Muối Chú Long - Hậu Giang,3432993
Cà Phê Muối Chú Long - Hoàng Diệu,675664
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1920969
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2629452
Cà Phê Muối Chú Long - Kiên Giang,363482
Cà Phê Muối Chú Long - Kha Vạn Cân,1861365
Cà Phê Muối Chú Long - Lạc Long Quân,1330945
Cà Phê Muối Chú Long - Lê Duẩn,467792
Cà Phê Muối Chú Long - Long An,740920
Cà Phê Muối Chú Long - Long Xuyên,151842
Cà Phê Muối Chú Long - Ngô Tất Tố,381026
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3977898
Cà Phê Muối Chú Long - Nguyễn Huệ,2211680
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,988400
Cà Phê Muối Chú Long - Phan Thiết,1974180
Cà Phê Muối Chú Long - Quảng Ngãi,1119870
Cà Phê Muối Chú Long - Tây Ninh,118457
Cà Phê Muối Chú Long - Tiền Giang,252757
Cà Phê Muối Chú Long - Tôn Đức Thắng,5352444
Cà Phê Muối Chú Long - Thanh Nhàn,6836176
Cà Phê Muối Chú Long - Thích Quảng Đức,998208
Cà Phê Muối Chú Long - Thuận An,596056
Cà Phê Muối Chú Long - Trà Vinh,444024
Cà Phê Muối Chú Long - Trần Hưng Đạo,334246
Cà Phê Muối Chú Long - Trương Định,4474206
Cà Phê Muối Chú Long - Vĩnh Long,215787
Cà Phê Muối Chú Long - Võ Văn Kiệt,1784255
Cà Phê Muối Chú Long - Vũng Tàu,878997
(blank),
Grand Total,78392887
