Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,939815
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,707648
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3396638
Cà Phê Muối Chú Long - 417 Cộng Hoà,3014023
Cà Phê Muối Chú Long - An Dương Vương,925778
Cà Phê Muối Chú Long - Bà Rịa,35462
Cà Phê Muối Chú Long - Bà Triệu,785059
Cà Phê Muối Chú Long - Bến Tre,69829
Cà Phê Muối Chú Long - Bình Long,3022063
Cà Phê Muối Chú Long - Cà Mau,151013
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1369052
Cà Phê Muối Chú Long - Cần Thơ,879636
Cà Phê Muối Chú Long - Classic,1984959
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2353455
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1740268
Cà Phê Muối Chú Long - Đoàn Thị Điểm,372348
Cà Phê Muối Chú Long - Đội Cấn,6053579
Cà Phê Muối Chú Long - Đồng Xoài,290710
Cà Phê Muối Chú Long - Đường Láng,7652180
Cà Phê Muối Chú Long - Hà Huy Giáp,3374444
Cà Phê Muối Chú Long - Hậu Giang,4863833
Cà Phê Muối Chú Long - Hoàng Diệu,1271192
Cà Phê Muối Chú Long - Hùng Vương,659097
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1448122
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3980506
Cà Phê Muối Chú Long - Kiên Giang,418334
Cà Phê Muối Chú Long - Kha Vạn Cân,1919767
Cà Phê Muối Chú Long - Lạc Long Quân,1376448
Cà Phê Muối Chú Long - Lê Duẩn,1308350
Cà Phê Muối Chú Long - Long An,607525
Cà Phê Muối Chú Long - Long Xuyên,319531
Cà Phê Muối Chú Long - Ngô Tất Tố,828826
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4817069
Cà Phê Muối Chú Long - Nguyễn Huệ,4897567
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1720269
Cà Phê Muối Chú Long - Phan Thiết,1813554
Cà Phê Muối Chú Long - Quảng Ngãi,2391251
Cà Phê Muối Chú Long - Tây Ninh,41498
Cà Phê Muối Chú Long - Tiền Giang,534149
Cà Phê Muối Chú Long - Tôn Đức Thắng,7078914
Cà Phê Muối Chú Long - Thanh Nhàn,11088001
Cà Phê Muối Chú Long - Thích Quảng Đức,999189
Cà Phê Muối Chú Long - Thuận An,724550
Cà Phê Muối Chú Long - Trà Vinh,571424
Cà Phê Muối Chú Long - Trương Định,7556885
Cà Phê Muối Chú Long - Vĩnh Long,230160
Cà Phê Muối Chú Long - Võ Văn Kiệt,2989578
Cà Phê Muối Chú Long - Vũng Tàu,1111610
(blank),
Grand Total,106685158
