Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 01 Hàng Đậu,2604542
Cà Phê Muối Chú Long - 101 Hùng Vương,138828
Cà Phê Muối Chú Long - 117 Lò Đúc,4032059
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1340728
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,505278
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1790720
Cà Phê Muối Chú Long - 3/26 Quang Trung,3001794
Cà Phê Muối Chú Long - 35 Trần Phú,683092
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,2503245
Cà Phê Muối Chú Long - 417 Cộng Hoà,3292448
Cà Phê Muối Chú Long - 585 Quang Trung,5057661
Cà Phê Muối Chú Long - 59 Trường Chinh,2503231
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,516941
Cà Phê Muối Chú Long - An Dương Vương,4014995
Cà Phê Muối Chú Long - Bà Rịa,154674
Cà Phê Muối Chú Long - Bà Triệu,648871
Cà Phê Muối Chú Long - Bạch Đằng,1281146
Cà Phê Muối Chú Long - Bến Tre,258079
Cà Phê Muối Chú Long - Bình Long,5308753
Cà Phê Muối Chú Long - Cà Mau,329305
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1967872
Cà Phê Muối Chú Long - Cần Thơ,1579444
Cà Phê Muối Chú Long - Classic,1711546
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2886805
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1842281
Cà Phê Muối Chú Long - Đoàn Thị Điểm,256231
Cà Phê Muối Chú Long - Đội Cấn,10483057
Cà Phê Muối Chú Long - Đồng Xoài,290107
Cà Phê Muối Chú Long - Đường Láng,7894330
Cà Phê Muối Chú Long - Hà Huy Giáp,4865068
Cà Phê Muối Chú Long - Hậu Giang,6409312
Cà Phê Muối Chú Long - Hoàng Diệu,1797769
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2758355
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3514209
Cà Phê Muối Chú Long - Kha Vạn Cân,2480720
Cà Phê Muối Chú Long - Kiên Giang,569837
Cà Phê Muối Chú Long - Lạc Long Quân,2563146
Cà Phê Muối Chú Long - Lê Duẩn,1564559
Cà Phê Muối Chú Long - Lê Văn Sỹ,4358736
Cà Phê Muối Chú Long - Lê Văn Việt,2592472
Cà Phê Muối Chú Long - Long An,1208287
Cà Phê Muối Chú Long - Long Xuyên,303124
Cà Phê Muối Chú Long - Ngô Tất Tố,1522350
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,6021890
Cà Phê Muối Chú Long - Nguyễn Huệ,4369529
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2222278
Cà Phê Muối Chú Long - Nha Trang,2834291
Cà Phê Muối Chú Long - Phan Thiết,2748426
Cà Phê Muối Chú Long - Phan Văn Trị,3233889
Cà Phê Muối Chú Long - Quảng Ngãi,1174008
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4763398
Cà Phê Muối Chú Long - Tây Ninh,254382
Cà Phê Muối Chú Long - Thanh Nhàn,9580228
Cà Phê Muối Chú Long - Thành Thái,7211100
Cà Phê Muối Chú Long - Thích Quảng Đức,829882
Cà Phê Muối Chú Long - Thuận An,1075926
Cà Phê Muối Chú Long - Tôn Đức Thắng,7244144
Cà Phê Muối Chú Long - Trà Vinh,356617
Cà Phê Muối Chú Long - Trần Hưng Đạo,658102
Cà Phê Muối Chú Long - Trương Định,7718548
Cà Phê Muối Chú Long - Vĩnh Long,650266
Cà Phê Muối Chú Long - Võ Văn Kiệt,4017339
Cà Phê Muối Chú Long - Vũng Tàu,2438072
(blank),
Grand Total,174788322
