Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 01 Hàng Đậu,1313592
Cà Phê Muối Chú Long - 117 Lò Đúc,1192117
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1018289
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,132075
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1751524
Cà Phê Muối Chú Long - 203 Tôn Đản,465529
Cà Phê Muối Chú Long - 3/26 Quang Trung,2710421
Cà Phê Muối Chú Long - 35 Trần Phú,309796
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,1703817
Cà Phê Muối Chú Long - 417 Cộng Hoà,3559307
Cà Phê Muối Chú Long - 585 Quang Trung,5907597
Cà Phê Muối Chú Long - 59 Trường Chinh,2321035
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,155125
Cà Phê Muối Chú Long - An Dương Vương,3364134
Cà Phê Muối Chú Long - Bà Rịa,51307
Cà Phê Muối Chú Long - Bà Triệu,386530
Cà Phê Muối Chú Long - Bạch Đằng,484391
Cà Phê Muối Chú Long - Bến Tre,171725
Cà Phê Muối Chú Long - Bình Long,4740891
Cà Phê Muối Chú Long - Cà Mau,400110
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1748099
Cà Phê Muối Chú Long - Cần Thơ,1121228
Cà Phê Muối Chú Long - Classic,2390013
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2290472
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1491694
Cà Phê Muối Chú Long - Đoàn Thị Điểm,163651
Cà Phê Muối Chú Long - Đội Cấn,5025910
Cà Phê Muối Chú Long - Đồng Xoài,487920
Cà Phê Muối Chú Long - Đường Láng,6927144
Cà Phê Muối Chú Long - Hà Huy Giáp,3760896
Cà Phê Muối Chú Long - Hậu Giang,5147900
Cà Phê Muối Chú Long - Hoàng Diệu,1086325
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2421307
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2759536
Cà Phê Muối Chú Long - Kha Vạn Cân,3485941
Cà Phê Muối Chú Long - Kiên Giang,608944
Cà Phê Muối Chú Long - Lạc Long Quân,2257886
Cà Phê Muối Chú Long - Lê Duẩn,1061494
Cà Phê Muối Chú Long - Lê Văn Sỹ,3037836
Cà Phê Muối Chú Long - Lê Văn Việt,2986911
Cà Phê Muối Chú Long - Long An,280411
Cà Phê Muối Chú Long - Long Xuyên,318400
Cà Phê Muối Chú Long - Ngô Tất Tố,674675
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5167059
Cà Phê Muối Chú Long - Nguyễn Huệ,2934497
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1477350
Cà Phê Muối Chú Long - Nha Trang,2645698
Cà Phê Muối Chú Long - Phan Thiết,2140108
Cà Phê Muối Chú Long - Phan Văn Trị,3442472
Cà Phê Muối Chú Long - Quảng Ngãi,864491
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,3748275
Cà Phê Muối Chú Long - Tây Ninh,270829
Cà Phê Muối Chú Long - Thanh Nhàn,5624211
Cà Phê Muối Chú Long - Thành Thái,4448387
Cà Phê Muối Chú Long - Thích Quảng Đức,636952
Cà Phê Muối Chú Long - Thuận An,1251107
Cà Phê Muối Chú Long - Tôn Đức Thắng,4733122
Cà Phê Muối Chú Long - Trà Vinh,275807
Cà Phê Muối Chú Long - Trần Hưng Đạo,645618
Cà Phê Muối Chú Long - Trương Định,6352038
Cà Phê Muối Chú Long - Vĩnh Long,556331
Cà Phê Muối Chú Long - Võ Văn Kiệt,2379740
Cà Phê Muối Chú Long - Vũng Tàu,3115726
(blank),
Grand Total,136383723
