Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 01 Hàng Đậu,1699141
Cà Phê Muối Chú Long - 101 Hùng Vương,43761
Cà Phê Muối Chú Long - 117 Lò Đúc,458737
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1128533
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,777632
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1435213
Cà Phê Muối Chú Long - 3/26 Quang Trung,2726217
Cà Phê Muối Chú Long - 35 Trần Phú,1184594
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,2247719
Cà Phê Muối Chú Long - 417 Cộng Hoà,3258353
Cà Phê Muối Chú Long - 585 Quang Trung,5915255
Cà Phê Muối Chú Long - 59 Trường Chinh,1876179
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,268905
Cà Phê Muối Chú Long - An Dương Vương,3322366
Cà Phê Muối Chú Long - Bà Rịa,115666
Cà Phê Muối Chú Long - Bà Triệu,826616
Cà Phê Muối Chú Long - Bạch Đằng,1626019
Cà Phê Muối Chú Long - Bến Tre,381853
Cà Phê Muối Chú Long - Bình Long,5989367
Cà Phê Muối Chú Long - Cà Mau,580663
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,2126335
Cà Phê Muối Chú Long - Cần Thơ,1546382
Cà Phê Muối Chú Long - Classic,1698032
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1792839
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1814653
Cà Phê Muối Chú Long - Đoàn Thị Điểm,231351
Cà Phê Muối Chú Long - Đội Cấn,5840550
Cà Phê Muối Chú Long - Đồng Xoài,482654
Cà Phê Muối Chú Long - Đường Láng,6304907
Cà Phê Muối Chú Long - Hà Huy Giáp,4000561
Cà Phê Muối Chú Long - Hậu Giang,4873254
Cà Phê Muối Chú Long - Hoàng Diệu,2094117
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2257666
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,4737402
Cà Phê Muối Chú Long - Kha Vạn Cân,2896792
Cà Phê Muối Chú Long - Kiên Giang,344392
Cà Phê Muối Chú Long - Lạc Long Quân,2565577
Cà Phê Muối Chú Long - Lê Duẩn,1540490
Cà Phê Muối Chú Long - Lê Văn Sỹ,3666473
Cà Phê Muối Chú Long - Lê Văn Việt,2543923
Cà Phê Muối Chú Long - Long An,1064078
Cà Phê Muối Chú Long - Long Xuyên,510632
Cà Phê Muối Chú Long - Ngô Tất Tố,800679
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4991498
Cà Phê Muối Chú Long - Nguyễn Huệ,3298690
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1608687
Cà Phê Muối Chú Long - Nha Trang,3683999
Cà Phê Muối Chú Long - Phan Thiết,2724996
Cà Phê Muối Chú Long - Phan Văn Trị,4113199
Cà Phê Muối Chú Long - Quảng Ngãi,691560
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4041027
Cà Phê Muối Chú Long - Tây Ninh,356032
Cà Phê Muối Chú Long - Thanh Nhàn,8726449
Cà Phê Muối Chú Long - Thành Thái,6196776
Cà Phê Muối Chú Long - Thích Quảng Đức,773311
Cà Phê Muối Chú Long - Thuận An,1517675
Cà Phê Muối Chú Long - Tôn Đức Thắng,7957826
Cà Phê Muối Chú Long - Trà Vinh,202395
Cà Phê Muối Chú Long - Trần Hưng Đạo,938701
Cà Phê Muối Chú Long - Trương Định,7910105
Cà Phê Muối Chú Long - Vĩnh Long,491356
Cà Phê Muối Chú Long - Võ Văn Kiệt,3655415
Cà Phê Muối Chú Long - Vũng Tàu,3113518
(blank),
Grand Total,158589743
