STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1,09125-806052699,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:00,"87,000","15,000",0,0,"17,676",0,"54,324"
2,09125-824637554,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 8:21,"195,000","26,000",0,0,"41,490",0,"127,511"
3,09125-831210848,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:18,"262,000","54,000",0,0,"51,064",0,"156,936"
4,09125-842275073,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 6:16,"83,000","11,000",0,0,"17,676",0,"54,324"
5,10125-011546247,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 8:39,"58,000","15,000",0,0,"10,557",0,"32,444"
6,10125-015288768,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 0:42,"54,000","15,000",0,0,"9,575",0,"29,426"
7,10125-037070475,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 1:25,"58,000","11,000",0,0,"11,539",0,"35,462"
8,10125-050852565,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 1:33,"36,000","10,800",0,0,"6,187",0,"19,013"
9,10125-052749930,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 1:49,"58,000","15,000",0,0,"10,557",0,"32,444"
10,10125-055081411,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 1:51,"58,000","15,000",0,0,"10,557",0,"32,444"
11,10125-057959072,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:27,"29,000","7,250",0,0,"5,340",0,"16,410"
12,10125-085109329,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 2:33,"58,000","15,000",0,0,"10,557",0,"32,444"
13,10125-092866492,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 2:45,"58,000","15,000",0,0,"10,557",0,"32,444"
14,10125-131745481,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 3:59,"36,000","5,000",0,0,"7,611",0,"23,390"
15,10125-159302902,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:13,"167,000","48,000",0,0,"29,215",0,"89,786"
16,10125-189912161,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 5:46,"58,000","11,000",0,0,"11,539",0,"35,462"
17,10125-199265294,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 5:41,"29,000","8,700",0,0,"4,984",0,"15,316"
18,10125-204667352,10235659,Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,10/12/2025 5:56,"51,000","15,000",0,0,"8,838",0,"27,162"
19,10125-205989134,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 6:08,"36,000","10,800",0,0,"6,187",0,"19,013"
20,10125-208772350,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 6:03,"54,000","15,000",0,0,"9,575",0,"29,426"
21,10125-210476044,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 6:11,"29,000","8,700",0,0,"4,984",0,"15,316"
22,10125-212043903,10225895,Cà Phê Muối Chú Long - Cách Mạng Tháng 8,10/12/2025 6:10,"54,000","15,000",0,0,"9,575",0,"29,426"
23,10125-217228804,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 6:33,"29,000","8,700",0,0,"4,984",0,"15,316"
24,10125-219029081,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:11,"44,000","13,200",0,0,"7,561",0,"23,239"
25,10125-220171699,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:18,"22,000","5,500",0,0,"4,051",0,"12,449"
26,10125-220484949,10358016,Cà Phê Muối Chú Long - Bà Triệu,10/12/2025 6:34,"163,000","48,000",0,0,"28,233",0,"86,768"
27,10125-222633333,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 6:37,"45,000",0,0,0,"11,048",0,"33,953"
28,10125-224406857,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 6:28,"58,000","15,000",0,0,"10,557",0,"32,444"
29,10125-224630462,10324687,Cà Phê Muối Chú Long - Huỳnh Tấn Phát,10/12/2025 6:36,"22,000","6,600",0,0,"3,781",0,"11,619"
30,10125-226434352,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 6:34,"54,000","11,000",0,0,"10,557",0,"32,444"
31,10125-227096712,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 6:29,"22,000","6,600",0,0,"3,781",0,"11,619"
32,10125-227894077,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:37,"29,000","8,700",0,0,"4,984",0,"15,316"
33,10125-228273834,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:45,"167,000","22,000",0,0,"35,598",0,"109,403"
34,10125-230020263,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 6:37,"87,000","15,000",0,0,"17,676",0,"54,324"
35,10125-230529139,10233716,Cà Phê Muối Chú Long - 130 Thích Quảng Đức,10/12/2025 6:36,"44,000","13,200",0,0,"7,561",0,"23,239"
36,10125-232025829,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 6:42,"25,000",0,0,0,"6,138",0,"18,863"
37,10125-232645973,10324687,Cà Phê Muối Chú Long - Huỳnh Tấn Phát,10/12/2025 6:51,"58,000","11,000",0,0,"11,539",0,"35,462"
38,10125-232785442,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:37,"101,000","20,000",0,0,"19,886",0,"61,115"
39,10125-234059954,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:06,"55,000","11,000",0,0,"10,802",0,"33,198"
40,10125-234431153,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 6:48,"51,000","15,000",0,0,"8,838",0,"27,162"
41,10125-236626247,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 6:52,"87,000","15,000",0,0,"17,676",0,"54,324"
42,10125-236628789,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:49,"196,000","48,000",0,0,"36,334",0,"111,666"
43,10125-237233993,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:46,"29,000","8,700",0,0,"4,984",0,"15,316"
44,10125-237248248,10298824,Cà Phê Muối Chú Long - Hoàng Diệu,10/12/2025 6:59,"44,000","13,200",0,0,"7,561",0,"23,239"
45,10125-237741750,10285817,Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,10/12/2025 6:57,"51,000","15,000",0,0,"8,838",0,"27,162"
46,10125-237746342,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 6:55,"44,000","13,200",0,0,"7,561",0,"23,239"
47,10125-237876872,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 6:44,"58,000","11,000",0,0,"11,539",0,"35,462"
48,10125-238277309,10381892,Cà Phê Muối Chú Long - Phan Văn Trị,10/12/2025 6:52,"58,000",0,0,0,"14,239",0,"43,761"
49,10125-238979846,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 6:55,"87,000","15,000",0,0,"17,676",0,"54,324"
50,10125-239371309,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 6:57,"22,000","6,600",0,0,"3,781",0,"11,619"
51,10125-239729484,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 6:54,"87,000","15,000",0,0,"17,676",0,"54,324"
52,10125-239943827,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 7:16,"87,000","15,000",0,0,"17,676",0,"54,324"
53,10125-240313415,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:51,"37,000",0,0,0,"9,084",0,"27,917"
54,10125-241090504,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:05,"22,000","6,600",0,0,"3,781",0,"11,619"
55,10125-241705032,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 6:56,"37,000","11,100",0,0,"6,358",0,"19,542"
56,10125-242112359,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:11,"37,000","11,100",0,0,"6,358",0,"19,542"
57,10125-243035212,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:08,"44,000","13,200",0,0,"7,561",0,"23,239"
58,10125-243110236,10321439,Cà Phê Muối Chú Long - Vĩnh Long,10/12/2025 6:49,"29,000","8,700",0,0,"4,984",0,"15,316"
59,10125-243331496,10358016,Cà Phê Muối Chú Long - Bà Triệu,10/12/2025 6:57,"50,000","11,000",0,0,"9,575",0,"29,426"
60,10125-243399200,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:52,"29,000","5,000",0,0,"5,892",0,"18,108"
61,10125-243589893,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:42,"58,000","15,000",0,0,"10,557",0,"32,444"
62,10125-244368280,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 6:57,"88,000","15,000",0,0,"17,922",0,"55,079"
63,10125-244524893,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 7:49,"44,000",0,0,0,"10,802",0,"33,198"
64,10125-245272456,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:12,"87,000","15,000",0,0,"17,676",0,"54,324"
65,10125-245644735,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:02,"87,000","15,000",0,0,"17,676",0,"54,324"
66,10125-245733120,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:24,"117,000","20,000",0,0,"23,814",0,"73,187"
67,10125-246494165,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:28,"22,000","6,600",0,0,"3,781",0,"11,619"
68,10125-246529092,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:08,"297,000","67,000",0,0,"56,465",0,"173,535"
69,10125-247761060,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 7:13,"58,000","15,000",0,0,"10,557",0,"32,444"
70,10125-247850402,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:36,"58,000","15,000",0,0,"10,557",0,"32,444"
71,10125-247875108,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:21,"333,000","54,000",0,0,"68,495",0,"210,506"
72,10125-248377315,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:14,"58,000","15,000",0,0,"10,557",0,"32,444"
73,10125-249025570,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:16,"110,000","20,000",0,0,"22,095",0,"67,905"
74,10125-250442631,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 7:13,"22,000","6,600",0,0,"3,781",0,"11,619"
75,10125-250590365,10232123,Cà Phê Muối Chú Long - 17A Ngô Tất Tố,10/12/2025 7:37,"22,000","6,600",0,0,"3,781",0,"11,619"
76,10125-250609716,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:19,"29,000","7,250",0,0,"5,340",0,"16,410"
77,10125-250614899,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 7:37,"44,000","13,200",0,0,"7,561",0,"23,239"
78,10125-250909196,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:21,"174,000","48,000",0,0,"30,933",0,"95,067"
79,10125-251022445,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 7:28,"29,000","8,700",0,0,"4,984",0,"15,316"
80,10125-251119409,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 7:10,"22,000","6,600",0,0,"3,781",0,"11,619"
81,10125-251346113,10299524,Cà Phê Muối Chú Long - Lê Duẩn,10/12/2025 7:29,"76,000","15,000",0,0,"14,976",0,"46,025"
82,10125-251356907,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 7:27,"58,000","15,000",0,0,"10,557",0,"32,444"
83,10125-252534275,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 7:16,"167,000","48,000",0,0,"29,215",0,"89,786"
84,10125-252573377,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:19,"22,000","6,600",0,0,"3,781",0,"11,619"
85,10125-252661651,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 7:19,"54,000","15,000",0,0,"9,575",0,"29,426"
86,10125-252678016,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:19,"29,000","8,700",0,0,"4,984",0,"15,316"
87,10125-252854551,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:12,"58,000","15,000",0,0,"10,557",0,"32,444"
88,10125-253773879,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 7:48,"22,000","5,000",0,0,"4,174",0,"12,827"
89,10125-253940792,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 7:21,"79,000","15,000",0,0,"15,712",0,"48,288"
90,10125-254383552,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:19,"22,000","6,600",0,0,"3,781",0,"11,619"
91,10125-254768342,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 7:52,"22,000","6,600",0,0,"3,781",0,"11,619"
92,10125-255349638,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:19,"58,000","15,000",0,0,"10,557",0,"32,444"
93,10125-255981141,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:19,"58,000","15,000",0,0,"10,557",0,"32,444"
94,10125-256196076,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 7:16,"167,000","48,000",0,0,"29,215",0,"89,786"
95,10125-256208498,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 7:38,"22,000","6,600",0,0,"3,781",0,"11,619"
96,10125-256667540,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:41,"167,000","48,000",0,0,"29,215",0,"89,786"
97,10125-256778399,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 7:18,"58,000","15,000",0,0,"10,557",0,"32,444"
98,10125-256894575,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 7:36,"167,000","48,000",0,0,"29,215",0,"89,786"
99,10125-256933375,10358016,Cà Phê Muối Chú Long - Bà Triệu,10/12/2025 7:15,"29,000","7,250",0,0,"5,340",0,"16,410"
100,10125-257107809,10285817,Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,10/12/2025 7:25,"29,000","7,250",0,0,"5,340",0,"16,410"
101,10125-257113551,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:19,"58,000","11,000",0,0,"11,539",0,"35,462"
102,10125-257142851,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:24,"87,000","15,000",0,0,"17,676",0,"54,324"
103,10125-257483130,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 7:24,"22,000",0,0,0,"5,401",0,"16,599"
104,10125-258015265,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 7:21,"58,000","15,000",0,0,"10,557",0,"32,444"
105,10125-258305352,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:25,"58,000","15,000",0,0,"10,557",0,"32,444"
106,10125-258323734,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 7:31,"58,000","15,000",0,0,"10,557",0,"32,444"
107,10125-258690332,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 7:25,"72,000","15,000",0,0,"13,994",0,"43,007"
108,10125-258851016,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 8:17,"22,000","6,600",0,0,"3,781",0,"11,619"
109,10125-259344691,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 8:09,"22,000","6,600",0,0,"3,781",0,"11,619"
110,10125-259886619,10230793,Cà Phê Muối Chú Long - Huỳnh Văn Bánh,10/12/2025 7:36,"101,000","20,000",0,0,"19,886",0,"61,115"
111,10125-259888674,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:33,"109,000","20,000",0,0,"21,850",0,"67,151"
112,10125-260054507,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 7:29,"51,000","11,000",0,0,"9,820",0,"30,180"
113,10125-260454472,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:36,"161,000","22,000",0,0,"34,125",0,"104,876"
114,10125-260457084,10235658,Cà Phê Muối Chú Long - Công Trường Quốc Tế,10/12/2025 7:39,"58,000","15,000",0,0,"10,557",0,"32,444"
115,10125-260473239,10299524,Cà Phê Muối Chú Long - Lê Duẩn,10/12/2025 7:30,"58,000","15,000",0,0,"10,557",0,"32,444"
116,10125-260829331,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:49,"58,000","15,000",0,0,"10,557",0,"32,444"
117,10125-260850853,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:27,"87,000","15,000",0,0,"17,676",0,"54,324"
118,10125-260965818,10321437,Cà Phê Muối Chú Long - Tây Ninh,10/12/2025 7:28,"160,000","42,000",0,0,"28,969",0,"89,031"
119,10125-261339173,10235658,Cà Phê Muối Chú Long - Công Trường Quốc Tế,10/12/2025 7:35,"58,000","11,000",0,0,"11,539",0,"35,462"
120,10125-261685189,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 7:32,"51,000","11,000",0,0,"9,820",0,"30,180"
121,10125-262522799,10324687,Cà Phê Muối Chú Long - Huỳnh Tấn Phát,10/12/2025 7:37,"72,000","15,000",0,0,"13,994",0,"43,007"
122,10125-262796905,10242271,Cà Phê Muối Chú Long - Vũng Tàu,10/12/2025 7:33,"87,000","15,000",0,0,"17,676",0,"54,324"
123,10125-262868768,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:31,"22,000","6,600",0,0,"3,781",0,"11,619"
124,10125-262903322,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:32,"51,000","15,000",0,0,"8,838",0,"27,162"
125,10125-263376758,10354882,Cà Phê Muối Chú Long - Quảng Ngãi,10/12/2025 7:50,"66,000","15,000",0,0,"12,521",0,"38,480"
126,10125-263386979,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 7:44,"22,000","6,600",0,0,"3,781",0,"11,619"
127,10125-263484589,10340098,Cà Phê Muối Chú Long - Thuận An,10/12/2025 7:50,"29,000","8,700",0,0,"4,984",0,"15,316"
128,10125-263547458,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:31,"58,000","15,000",0,0,"10,557",0,"32,444"
129,10125-263543493,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:47,"101,000","20,000",0,0,"19,886",0,"61,115"
130,10125-263668135,10375372,Cà Phê Muối Chú Long - An Dương Vương,10/12/2025 7:44,"54,000","15,000",0,0,"9,575",0,"29,426"
131,10125-263887892,10225885,Cà Phê Muối Chú Long - Ngô Tất Tố,10/12/2025 7:47,"58,000","15,000",0,0,"10,557",0,"32,444"
132,10125-264027642,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:27,"58,000","15,000",0,0,"10,557",0,"32,444"
133,10125-264141903,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:50,"44,000","13,200",0,0,"7,561",0,"23,239"
134,10125-264769386,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:29,"72,000","15,000",0,0,"13,994",0,"43,007"
135,10125-265446122,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 7:38,"58,000","15,000",0,0,"10,557",0,"32,444"
136,10125-265560491,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:43,"44,000","13,200",0,0,"7,561",0,"23,239"
137,10125-265589456,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 8:09,"108,000","20,000",0,0,"21,604",0,"66,396"
138,10125-265714365,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 8:18,"58,000","15,000",0,0,"10,557",0,"32,444"
139,10125-266001555,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 7:30,"36,000","10,800",0,0,"6,187",0,"19,013"
140,10125-266592955,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:55,"58,000","15,000",0,0,"10,557",0,"32,444"
141,10125-266875428,10233716,Cà Phê Muối Chú Long - 130 Thích Quảng Đức,10/12/2025 7:37,"87,000",0,0,0,"21,359",0,"65,642"
142,10125-267250454,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 7:43,"120,000","20,000",0,0,"24,550",0,"75,450"
143,10125-267484523,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:37,"87,000","15,000",0,0,"17,676",0,"54,324"
144,10125-267870431,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:38,"51,000","15,000",0,0,"8,838",0,"27,162"
145,10125-268217775,10354882,Cà Phê Muối Chú Long - Quảng Ngãi,10/12/2025 7:44,"44,000","13,200",0,0,"7,561",0,"23,239"
146,10125-268494150,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 7:46,"100,000","20,000",0,0,"19,640",0,"60,360"
147,10125-268552684,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:50,"58,000","11,000",0,0,"11,539",0,"35,462"
148,10125-268683498,10230793,Cà Phê Muối Chú Long - Huỳnh Văn Bánh,10/12/2025 8:01,"22,000","6,600",0,0,"3,781",0,"11,619"
149,10125-268791743,10269971,Cà Phê Muối Chú Long - Cần Thơ,10/12/2025 8:03,"160,000","42,000",0,0,"28,969",0,"89,031"
150,10125-268926197,10232123,Cà Phê Muối Chú Long - 17A Ngô Tất Tố,10/12/2025 7:59,"174,000","48,000",0,0,"30,933",0,"95,067"
151,10125-269159401,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:39,"25,000","7,500",0,0,"4,296",0,"13,204"
152,10125-269191637,10232123,Cà Phê Muối Chú Long - 17A Ngô Tất Tố,10/12/2025 7:42,"112,000","20,000",0,0,"22,586",0,"69,414"
153,10125-269231439,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:46,"58,000","15,000",0,0,"10,557",0,"32,444"
154,10125-269262596,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 7:52,"58,000","15,000",0,0,"10,557",0,"32,444"
155,10125-269454160,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 8:02,"116,000","20,000",0,0,"23,568",0,"72,432"
156,10125-269470938,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 7:51,"83,000","15,000",0,0,"16,694",0,"51,306"
157,10125-269509731,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 8:14,"167,000","48,000",0,0,"29,215",0,"89,786"
158,10125-269530445,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 7:48,"161,000","42,000",0,0,"29,215",0,"89,786"
159,10125-269552882,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:52,"22,000","6,600",0,0,"3,781",0,"11,619"
160,10125-269857705,10321437,Cà Phê Muối Chú Long - Tây Ninh,10/12/2025 7:46,"94,000","15,000",0,0,"19,395",0,"59,606"
161,10125-269924694,10298824,Cà Phê Muối Chú Long - Hoàng Diệu,10/12/2025 7:45,"58,000","15,000",0,0,"10,557",0,"32,444"
162,10125-270300226,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 7:50,"54,000","15,000",0,0,"9,575",0,"29,426"
163,10125-270385295,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 8:21,"58,000","15,000",0,0,"10,557",0,"32,444"
164,10125-270475007,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:42,"44,000","13,200",0,0,"7,561",0,"23,239"
165,10125-270523860,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:43,"29,000","8,700",0,0,"4,984",0,"15,316"
166,10125-270698642,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:47,"22,000","5,500",0,0,"4,051",0,"12,449"
167,10125-270794449,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 8:02,"29,000","8,700",0,0,"4,984",0,"15,316"
168,10125-270867511,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 8:10,"29,000","8,700",0,0,"4,984",0,"15,316"
169,10125-270951448,10230793,Cà Phê Muối Chú Long - Huỳnh Văn Bánh,10/12/2025 7:47,"58,000","11,000",0,0,"11,539",0,"35,462"
170,10125-271094210,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:48,"58,000","15,000",0,0,"10,557",0,"32,444"
171,10125-271100874,10242271,Cà Phê Muối Chú Long - Vũng Tàu,10/12/2025 7:56,"72,000","15,000",0,0,"13,994",0,"43,007"
172,10125-271107020,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 7:50,"29,000","8,700",0,0,"4,984",0,"15,316"
173,10125-271143976,10269971,Cà Phê Muối Chú Long - Cần Thơ,10/12/2025 8:13,"22,000","6,600",0,0,"3,781",0,"11,619"
174,10125-271358809,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 7:52,"167,000","48,000",0,0,"29,215",0,"89,786"
175,10125-271677146,10269971,Cà Phê Muối Chú Long - Cần Thơ,10/12/2025 8:11,"87,000","15,000",0,0,"17,676",0,"54,324"
176,10125-272111203,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 7:39,"22,000","5,500",0,0,"4,051",0,"12,449"
177,10125-272208688,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 7:42,"58,000","15,000",0,0,"10,557",0,"32,444"
178,10125-272214585,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 7:54,"44,000","5,000",0,0,"9,575",0,"29,426"
179,10125-272394196,10232123,Cà Phê Muối Chú Long - 17A Ngô Tất Tố,10/12/2025 8:06,"22,000","6,600",0,0,"3,781",0,"11,619"
180,10125-272405616,10354882,Cà Phê Muối Chú Long - Quảng Ngãi,10/12/2025 7:48,"29,000","8,700",0,0,"4,984",0,"15,316"
181,10125-272410211,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:44,"58,000","15,000",0,0,"10,557",0,"32,444"
182,10125-272642473,10354882,Cà Phê Muối Chú Long - Quảng Ngãi,10/12/2025 7:57,"29,000","8,700",0,0,"4,984",0,"15,316"
183,10125-272652868,10340098,Cà Phê Muối Chú Long - Thuận An,10/12/2025 7:56,"83,000","15,000",0,0,"16,694",0,"51,306"
184,10125-272659052,10235658,Cà Phê Muối Chú Long - Công Trường Quốc Tế,10/12/2025 7:52,"58,000","11,000",0,0,"11,539",0,"35,462"
185,10125-272768351,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 7:47,"109,000","20,000",0,0,"21,850",0,"67,151"
