STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1753,10125-463432627,10232123,Cà Phê Muối Chú Long - 17A Ngô Tất Tố,10/12/2025 13:08,"22,000","6,600",0,0,"3,781",0,"11,619"
1754,10125-463845830,10298824,Cà Phê Muối Chú Long - Hoàng Diệu,10/12/2025 13:05,"44,000","13,200",0,0,"7,561",0,"23,239"
1755,10125-463889260,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 13:21,"75,000","15,000",0,0,"14,730",0,"45,270"
1756,10125-464048903,10235658,Cà Phê Muối Chú Long - Công Trường Quốc Tế,10/12/2025 13:12,"22,000","6,600",0,0,"3,781",0,"11,619"
1757,10125-464128261,10381892,Cà Phê Muối Chú Long - Phan Văn Trị,10/12/2025 13:10,"58,000",0,0,0,"14,239",0,"43,761"
1758,10125-464763658,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 13:04,"22,000","5,000",0,0,"4,174",0,"12,827"
1759,10125-465005909,10225895,Cà Phê Muối Chú Long - Cách Mạng Tháng 8,10/12/2025 13:15,"22,000","6,600",0,0,"3,781",0,"11,619"
1760,10125-465160750,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 13:16,"66,000","11,000",0,0,"13,503",0,"41,498"
1761,10125-465291305,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 13:02,"58,000","11,000",0,0,"11,539",0,"35,462"
1762,10125-465559328,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:19,"217,000","32,000",0,0,"45,418",0,"139,583"
1763,10125-465739625,10225871,Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,10/12/2025 13:24,"29,000","5,000",0,0,"5,892",0,"18,108"
1764,10125-465758503,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 13:12,"22,000","6,600",0,0,"3,781",0,"11,619"
1765,10125-465942253,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 13:11,"22,000","5,000",0,0,"4,174",0,"12,827"
1766,10125-465992694,10225895,Cà Phê Muối Chú Long - Cách Mạng Tháng 8,10/12/2025 13:13,"83,000","15,000",0,0,"16,694",0,"51,306"
1767,10125-466159515,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 13:27,"25,000","12,500",0,0,"3,069",0,"9,431"
1768,10125-466394802,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 13:18,"59,000","11,000",0,0,"11,784",0,"36,216"
1769,10125-466754548,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 13:49,"266,000","45,000",0,0,"54,256",0,"166,745"
1770,10125-466772443,10269971,Cà Phê Muối Chú Long - Cần Thơ,10/12/2025 13:34,"188,000","48,000",0,0,"34,370",0,"105,630"
1771,10125-467035934,10235659,Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,10/12/2025 13:09,"58,000","11,000",0,0,"11,539",0,"35,462"
1772,10125-467113122,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 13:12,"60,000","11,000",0,0,"12,030",0,"36,971"
1773,10125-467238896,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:27,"62,000","11,000",0,0,"12,521",0,"38,480"
1774,10125-467980513,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 14:07,"264,000",0,0,0,"64,812",0,"199,188"
1775,10125-468206875,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:24,"66,000","11,000",0,0,"13,503",0,"41,498"
1776,10125-468261491,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 13:09,"29,000","5,000",0,0,"5,892",0,"18,108"
1777,10125-468332403,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 13:08,"58,000","11,000",0,0,"11,539",0,"35,462"
1778,10125-468381217,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 13:12,"167,000","48,000",0,0,"29,215",0,"89,786"
1779,10125-468586265,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 13:16,"58,000","11,000",0,0,"11,539",0,"35,462"
1780,10125-469180649,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:17,"22,000","6,600",0,0,"3,781",0,"11,619"
1781,10125-469295392,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 13:23,"44,000","5,000",0,0,"9,575",0,"29,426"
1782,10125-469314498,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 13:21,"62,000","11,000",0,0,"12,521",0,"38,480"
1783,10125-469380203,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 13:32,"450,000","76,500",0,0,"91,694",0,"281,806"
1784,10125-469385727,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 13:21,"117,000","20,000",0,0,"23,814",0,"73,187"
1785,10125-469720160,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 13:13,"51,000","11,000",0,0,"9,820",0,"30,180"
1786,10125-469744534,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 13:25,"66,000","11,000",0,0,"13,503",0,"41,498"
1787,10125-470202150,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 13:25,"87,000","15,000",0,0,"17,676",0,"54,324"
1788,10125-470250147,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 13:20,"29,000","5,000",0,0,"5,892",0,"18,108"
1789,10125-470391308,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:19,"22,000","5,000",0,0,"4,174",0,"12,827"
1790,10125-470445240,10235658,Cà Phê Muối Chú Long - Công Trường Quốc Tế,10/12/2025 13:16,"73,000","15,000",0,0,"14,239",0,"43,761"
1791,10125-470719285,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 13:37,"25,000","12,500",0,0,"3,069",0,"9,431"
1792,10125-470962949,10315543,Cà Phê Muối Chú Long - Bến Tre,10/12/2025 13:22,"29,000","7,250",0,0,"5,340",0,"16,410"
1793,10125-471051513,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 13:14,"91,000","15,000",0,0,"18,658",0,"57,342"
1794,10125-471054316,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 13:13,"37,000","5,000",0,0,"7,856",0,"24,144"
1795,10125-471379067,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 13:23,"58,000","11,000",0,0,"11,539",0,"35,462"
1796,10125-471381082,10225871,Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,10/12/2025 13:13,"58,000","11,000",0,0,"11,539",0,"35,462"
1797,10125-471561661,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 13:22,"108,000","20,000",0,0,"21,604",0,"66,396"
1798,10125-471584092,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:48,"58,000","11,000",0,0,"11,539",0,"35,462"
1799,10125-471799265,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:17,"50,000","11,000",0,0,"9,575",0,"29,426"
1800,10125-471881333,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 13:37,"22,000","6,600",0,0,"3,781",0,"11,619"
1801,10125-471909703,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 13:22,"29,000","5,000",0,0,"5,892",0,"18,108"
1802,10125-472040064,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 13:41,"87,000","15,000",0,0,"17,676",0,"54,324"
