Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,775253
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,414601
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2234087
Cà Phê Muối Chú Long - 417 Cộng Hoà,1336227
Cà Phê Muối Chú Long - An Dương Vương,2181264
Cà Phê Muối Chú Long - Bà Rịa,126002
Cà Phê Muối Chú Long - Bà Triệu,990094
Cà Phê Muối Chú Long - Bạch Đằng,541733
Cà Phê Muối Chú Long - Bến Tre,56021
Cà Phê Muối Chú Long - Bình Long,4384800
Cà Phê Muối Chú Long - Cà Mau,300105
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1255119
Cà Phê Muối Chú Long - Cần Thơ,1772895
Cà Phê Muối Chú Long - Classic,2045077
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3213054
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,2088087
Cà Phê Muối Chú Long - Đoàn Thị Điểm,187118
Cà Phê Muối Chú Long - Đội Cấn,7236069
Cà Phê Muối Chú Long - Đồng Xoài,238989
Cà Phê Muối Chú Long - Đường Láng,8651892
Cà Phê Muối Chú Long - Hà Huy Giáp,5133069
Cà Phê Muối Chú Long - Hậu Giang,3948695
Cà Phê Muối Chú Long - Hoàng Diệu,1293219
Cà Phê Muối Chú Long - Hùng Vương,390078
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2449871
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3028576
Cà Phê Muối Chú Long - Kha Vạn Cân,1791571
Cà Phê Muối Chú Long - Kiên Giang,557575
Cà Phê Muối Chú Long - Lạc Long Quân,1981325
Cà Phê Muối Chú Long - Lê Duẩn,1208712
Cà Phê Muối Chú Long - Long An,1346032
Cà Phê Muối Chú Long - Long Xuyên,462324
Cà Phê Muối Chú Long - Ngô Tất Tố,1724040
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4034712
Cà Phê Muối Chú Long - Nguyễn Huệ,3266244
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2214467
Cà Phê Muối Chú Long - Phan Thiết,1939062
Cà Phê Muối Chú Long - Phan Văn Trị,346318
Cà Phê Muối Chú Long - Quảng Ngãi,1157405
Cà Phê Muối Chú Long - Tây Ninh,135811
Cà Phê Muối Chú Long - Thanh Nhàn,13031405
Cà Phê Muối Chú Long - Thích Quảng Đức,1432802
Cà Phê Muối Chú Long - Thuận An,992174
Cà Phê Muối Chú Long - Tiền Giang,392531
Cà Phê Muối Chú Long - Tôn Đức Thắng,9186453
Cà Phê Muối Chú Long - Trà Vinh,551920
Cà Phê Muối Chú Long - Trần Hưng Đạo,345562
Cà Phê Muối Chú Long - Trương Định,10966689
Cà Phê Muối Chú Long - Vĩnh Long,531168
Cà Phê Muối Chú Long - Võ Văn Kiệt,2618882
Cà Phê Muối Chú Long - Vũng Tàu,1097049
(blank),
Grand Total,119584228
