Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,598999
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,202621
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1718078
Cà Phê Muối Chú Long - 417 Cộng Hoà,2192585
Cà Phê Muối Chú Long - An Dương Vương,1418012
Cà Phê Muối Chú Long - Bà Rịa,103932
Cà Phê Muối Chú Long - Bà Triệu,370913
Cà Phê Muối Chú Long - Bạch Đằng,559842
Cà Phê Muối Chú Long - Bến Tre,184099
Cà Phê Muối Chú Long - Bình Long,3960847
Cà Phê Muối Chú Long - Cà Mau,305197
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,644345
Cà Phê Muối Chú Long - Cần Thơ,748957
Cà Phê Muối Chú Long - Classic,1679076
Cà Phê Muối Chú Long - Công Trường Quốc Tế,891146
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1526810
Cà Phê Muối Chú Long - Đoàn Thị Điểm,79600
Cà Phê Muối Chú Long - Đội Cấn,4563690
Cà Phê Muối Chú Long - Đồng Xoài,314100
Cà Phê Muối Chú Long - Đường Láng,7252967
Cà Phê Muối Chú Long - Hà Huy Giáp,3597550
Cà Phê Muối Chú Long - Hậu Giang,3524060
Cà Phê Muối Chú Long - Hoàng Diệu,989713
Cà Phê Muối Chú Long - Hùng Vương,750203
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1159446
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2045079
Cà Phê Muối Chú Long - Kha Vạn Cân,1671226
Cà Phê Muối Chú Long - Kiên Giang,642949
Cà Phê Muối Chú Long - Lạc Long Quân,1398546
Cà Phê Muối Chú Long - Lê Duẩn,1192530
Cà Phê Muối Chú Long - Long An,1033290
Cà Phê Muối Chú Long - Long Xuyên,381249
Cà Phê Muối Chú Long - Ngô Tất Tố,756993
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3241650
Cà Phê Muối Chú Long - Nguyễn Huệ,2801320
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1257079
Cà Phê Muối Chú Long - Phan Thiết,2146736
Cà Phê Muối Chú Long - Phan Văn Trị,1816086
Cà Phê Muối Chú Long - Quảng Ngãi,1083539
Cà Phê Muối Chú Long - Tây Ninh,545505
Cà Phê Muối Chú Long - Thanh Nhàn,6950038
Cà Phê Muối Chú Long - Thích Quảng Đức,1076377
Cà Phê Muối Chú Long - Thuận An,700216
Cà Phê Muối Chú Long - Tiền Giang,235971
Cà Phê Muối Chú Long - Tôn Đức Thắng,6977882
Cà Phê Muối Chú Long - Trà Vinh,605525
Cà Phê Muối Chú Long - Trần Hưng Đạo,837271
Cà Phê Muối Chú Long - Trương Định,5480337
Cà Phê Muối Chú Long - Vĩnh Long,309762
Cà Phê Muối Chú Long - Võ Văn Kiệt,1805756
Cà Phê Muối Chú Long - Vũng Tàu,712856
(blank),
Grand Total,87042556
