Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1268925
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,289730
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,4695353
Cà Phê Muối Chú Long - 417 Cộng Hoà,3428920
Cà Phê Muối Chú Long - An Dương Vương,989382
Cà Phê Muối Chú Long - Bà Rịa,15316
Cà Phê Muối Chú Long - Bà Triệu,584171
Cà Phê Muối Chú Long - Bến Tre,92050
Cà Phê Muối Chú Long - Bình Long,2997500
Cà Phê Muối Chú Long - Cà Mau,73942
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1386636
Cà Phê Muối Chú Long - Cần Thơ,798718
Cà Phê Muối Chú Long - Classic,1822592
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1994536
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1252699
Cà Phê Muối Chú Long - Đoàn Thị Điểm,36971
Cà Phê Muối Chú Long - Đội Cấn,8211560
Cà Phê Muối Chú Long - Đồng Xoài,505969
Cà Phê Muối Chú Long - Đường Láng,9757173
Cà Phê Muối Chú Long - Hà Huy Giáp,4052813
Cà Phê Muối Chú Long - Hậu Giang,3648783
Cà Phê Muối Chú Long - Hoàng Diệu,943510
Cà Phê Muối Chú Long - Hùng Vương,222427
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2640236
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2862518
Cà Phê Muối Chú Long - Kiên Giang,904835
Cà Phê Muối Chú Long - Kha Vạn Cân,1293297
Cà Phê Muối Chú Long - Lạc Long Quân,1724425
Cà Phê Muối Chú Long - Lê Duẩn,951283
Cà Phê Muối Chú Long - Long An,807394
Cà Phê Muối Chú Long - Long Xuyên,210995
Cà Phê Muối Chú Long - Ngô Tất Tố,1145486
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4239262
Cà Phê Muối Chú Long - Nguyễn Huệ,3959190
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2421504
Cà Phê Muối Chú Long - Phan Thiết,1527671
Cà Phê Muối Chú Long - Phan Văn Trị,301047
Cà Phê Muối Chú Long - Quảng Ngãi,1706081
Cà Phê Muối Chú Long - Tây Ninh,208167
Cà Phê Muối Chú Long - Tiền Giang,207865
Cà Phê Muối Chú Long - Tôn Đức Thắng,9648745
Cà Phê Muối Chú Long - Thanh Nhàn,11199180
Cà Phê Muối Chú Long - Thích Quảng Đức,1223806
Cà Phê Muối Chú Long - Thuận An,1765008
Cà Phê Muối Chú Long - Trà Vinh,262755
Cà Phê Muối Chú Long - Trần Hưng Đạo,643063
Cà Phê Muối Chú Long - Trương Định,8516996
Cà Phê Muối Chú Long - Vĩnh Long,157200
Cà Phê Muối Chú Long - Võ Văn Kiệt,2851347
Cà Phê Muối Chú Long - Vũng Tàu,870771
(blank),
Grand Total,113319803
