Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1608882
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,428425
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1807492
Cà Phê Muối Chú Long - 417 Cộng Hoà,3524192
Cà Phê Muối Chú Long - 59 Trường Chinh,147128
Cà Phê Muối Chú Long - An Dương Vương,3569890
Cà Phê Muối Chú Long - Bà Rịa,152258
Cà Phê Muối Chú Long - Bà Triệu,3023952
Cà Phê Muối Chú Long - Bạch Đằng,1741777
Cà Phê Muối Chú Long - Bến Tre,261132
Cà Phê Muối Chú Long - Bình Long,4810524
Cà Phê Muối Chú Long - Cà Mau,425507
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1659588
Cà Phê Muối Chú Long - Cần Thơ,1356401
Cà Phê Muối Chú Long - Classic,2489492
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2289519
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1496888
Cà Phê Muối Chú Long - Đoàn Thị Điểm,422183
Cà Phê Muối Chú Long - Đội Cấn,10276886
Cà Phê Muối Chú Long - Đồng Xoài,565141
Cà Phê Muối Chú Long - Đường Láng,11541972
Cà Phê Muối Chú Long - Hà Huy Giáp,4466591
Cà Phê Muối Chú Long - Hậu Giang,5356798
Cà Phê Muối Chú Long - Hoàng Diệu,1365981
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3184735
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2755027
Cà Phê Muối Chú Long - Kha Vạn Cân,2985754
Cà Phê Muối Chú Long - Kiên Giang,757283
Cà Phê Muối Chú Long - Lạc Long Quân,2430406
Cà Phê Muối Chú Long - Lê Duẩn,1557458
Cà Phê Muối Chú Long - Long An,751333
Cà Phê Muối Chú Long - Long Xuyên,387439
Cà Phê Muối Chú Long - Ngô Tất Tố,858474
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5396921
Cà Phê Muối Chú Long - Nguyễn Huệ,6733869
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2667623
Cà Phê Muối Chú Long - Nha Trang,3485072
Cà Phê Muối Chú Long - Phan Thiết,2263193
Cà Phê Muối Chú Long - Phan Văn Trị,3140172
Cà Phê Muối Chú Long - Quảng Ngãi,1143466
Cà Phê Muối Chú Long - Tây Ninh,407907
Cà Phê Muối Chú Long - Thanh Nhàn,10293955
Cà Phê Muối Chú Long - Thích Quảng Đức,621336
Cà Phê Muối Chú Long - Thuận An,1820078
Cà Phê Muối Chú Long - Tiền Giang,622747
Cà Phê Muối Chú Long - Tôn Đức Thắng,9573656
Cà Phê Muối Chú Long - Trà Vinh,725270
Cà Phê Muối Chú Long - Trần Hưng Đạo,962199
Cà Phê Muối Chú Long - Trương Định,12645231
Cà Phê Muối Chú Long - Vĩnh Long,544602
Cà Phê Muối Chú Long - Võ Văn Kiệt,2989044
Cà Phê Muối Chú Long - Vũng Tàu,901406
(blank),
Grand Total,147394255
