Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1291110
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,692333
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2454148
Cà Phê Muối Chú Long - 417 Cộng Hoà,2948646
Cà Phê Muối Chú Long - An Dương Vương,2631962
Cà Phê Muối Chú Long - Bà Triệu,951866
Cà Phê Muối Chú Long - Bạch Đằng,774878
Cà Phê Muối Chú Long - Bến Tre,143468
Cà Phê Muối Chú Long - Bình Long,4974667
Cà Phê Muối Chú Long - Cà Mau,231668
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1259819
Cà Phê Muối Chú Long - Cần Thơ,1117157
Cà Phê Muối Chú Long - Classic,2403999
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1891347
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,955657
Cà Phê Muối Chú Long - Đoàn Thị Điểm,344882
Cà Phê Muối Chú Long - Đội Cấn,5839305
Cà Phê Muối Chú Long - Đồng Xoài,518177
Cà Phê Muối Chú Long - Đường Láng,6883178
Cà Phê Muối Chú Long - Hà Huy Giáp,3620955
Cà Phê Muối Chú Long - Hậu Giang,5430708
Cà Phê Muối Chú Long - Hoàng Diệu,1083239
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2327141
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2820224
Cà Phê Muối Chú Long - Kha Vạn Cân,2436519
Cà Phê Muối Chú Long - Kiên Giang,631104
Cà Phê Muối Chú Long - Lạc Long Quân,1686973
Cà Phê Muối Chú Long - Lê Duẩn,728584
Cà Phê Muối Chú Long - Long An,615297
Cà Phê Muối Chú Long - Long Xuyên,369706
Cà Phê Muối Chú Long - Ngô Tất Tố,585345
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4768011
Cà Phê Muối Chú Long - Nguyễn Huệ,2919778
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2153318
Cà Phê Muối Chú Long - Nha Trang,2746599
Cà Phê Muối Chú Long - Phan Thiết,1809659
Cà Phê Muối Chú Long - Phan Văn Trị,2298532
Cà Phê Muối Chú Long - Quảng Ngãi,887594
Cà Phê Muối Chú Long - Tây Ninh,208356
Cà Phê Muối Chú Long - Thanh Nhàn,9154148
Cà Phê Muối Chú Long - Thích Quảng Đức,366690
Cà Phê Muối Chú Long - Thuận An,806487
Cà Phê Muối Chú Long - Tiền Giang,371704
Cà Phê Muối Chú Long - Tôn Đức Thắng,7458787
Cà Phê Muối Chú Long - Trà Vinh,359709
Cà Phê Muối Chú Long - Trần Hưng Đạo,904974
Cà Phê Muối Chú Long - Trương Định,7426700
Cà Phê Muối Chú Long - Vĩnh Long,339941
Cà Phê Muối Chú Long - Võ Văn Kiệt,3553029
Cà Phê Muối Chú Long - Vũng Tàu,1413437
(blank),
Grand Total,110591515
