Row Labels, Sum of PHÍ QUẢNG CÁO 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,"53,326"
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,"19,249"
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,"86,683"
Cà Phê Muối Chú Long - 417 Cộng Hoà,"130,575"
Cà Phê Muối Chú Long - 59 Trường Chinh,"43,214"
Cà Phê Muối Chú Long - An Dương Vương,"158,679"
Cà Phê Muối Chú Long - Bà Rịa,686
Cà Phê Muối Chú Long - Bà Triệu,"43,082"
Cà Phê Muối Chú Long - Bạch Đằng,"89,740"
Cà Phê Muối Chú Long - Bến Tre,"7,152"
Cà Phê Muối Chú Long - Bình Long,"219,803"
Cà Phê Muối Chú Long - Cà Mau,"7,381"
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,"68,838"
Cà Phê Muối Chú Long - Cần Thơ,"40,161"
Cà Phê Muối Chú Long - Classic,"119,274"
Cà Phê Muối Chú Long - Công Trường Quốc Tế,"102,863"
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,"51,365"
Cà Phê Muối Chú Long - Đoàn Thị Điểm,"12,640"
Cà Phê Muối Chú Long - Đội Cấn,"403,710"
Cà Phê Muối Chú Long - Đồng Xoài,"20,709"
Cà Phê Muối Chú Long - Đường Láng,"385,872"
Cà Phê Muối Chú Long - Hà Huy Giáp,"212,653"
Cà Phê Muối Chú Long - Hậu Giang,"193,626"
Cà Phê Muối Chú Long - Hoàng Diệu,"56,125"
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,"139,427"
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,"121,113"
Cà Phê Muối Chú Long - Kha Vạn Cân,"114,016"
Cà Phê Muối Chú Long - Kiên Giang,"31,864"
Cà Phê Muối Chú Long - Lạc Long Quân,"103,275"
Cà Phê Muối Chú Long - Lê Duẩn,"45,014"
Cà Phê Muối Chú Long - Long An,"34,961"
Cà Phê Muối Chú Long - Long Xuyên,"7,338"
Cà Phê Muối Chú Long - Ngô Tất Tố,"65,828"
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,"216,940"
Cà Phê Muối Chú Long - Nguyễn Huệ,"290,735"
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,"100,115"
Cà Phê Muối Chú Long - Nha Trang,"155,892"
Cà Phê Muối Chú Long - Phan Thiết,"108,399"
Cà Phê Muối Chú Long - Phan Văn Trị,"121,442"
Cà Phê Muối Chú Long - Quảng Ngãi,"53,855"
Cà Phê Muối Chú Long - Tây Ninh,"9,134"
Cà Phê Muối Chú Long - Thanh Nhàn,"383,740"
Cà Phê Muối Chú Long - Thích Quảng Đức,"26,540"
Cà Phê Muối Chú Long - Thuận An,"44,798"
Cà Phê Muối Chú Long - Tiền Giang,"17,297"
Cà Phê Muối Chú Long - Tôn Đức Thắng,"344,890"
Cà Phê Muối Chú Long - Trà Vinh,"12,105"
Cà Phê Muối Chú Long - Trần Hưng Đạo,"54,742"
Cà Phê Muối Chú Long - Trương Định,"503,390"
Cà Phê Muối Chú Long - Vĩnh Long,"26,190"
Cà Phê Muối Chú Long - Võ Văn Kiệt,"132,171"
Cà Phê Muối Chú Long - Vũng Tàu,"47,592"
Grand Total,"5,840,208"
