Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1399102
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,336507
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2025402
Cà Phê Muối Chú Long - 417 Cộng Hoà,3220582
Cà Phê Muối Chú Long - An Dương Vương,3543126
Cà Phê Muối Chú Long - Bà Rịa,134489
Cà Phê Muối Chú Long - Bà Triệu,670112
Cà Phê Muối Chú Long - Bạch Đằng,1400178
Cà Phê Muối Chú Long - Bến Tre,315080
Cà Phê Muối Chú Long - Bình Long,4574151
Cà Phê Muối Chú Long - Cà Mau,170706
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1919480
Cà Phê Muối Chú Long - Cần Thơ,645702
Cà Phê Muối Chú Long - Classic,2043946
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3203299
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1336552
Cà Phê Muối Chú Long - Đoàn Thị Điểm,300140
Cà Phê Muối Chú Long - Đội Cấn,7268034
Cà Phê Muối Chú Long - Đồng Xoài,477977
Cà Phê Muối Chú Long - Đường Láng,7611045
Cà Phê Muối Chú Long - Hà Huy Giáp,3381965
Cà Phê Muối Chú Long - Hậu Giang,5238635
Cà Phê Muối Chú Long - Hoàng Diệu,1187928
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2043710
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2566292
Cà Phê Muối Chú Long - Kha Vạn Cân,2243705
Cà Phê Muối Chú Long - Kiên Giang,315610
Cà Phê Muối Chú Long - Lạc Long Quân,1909346
Cà Phê Muối Chú Long - Lê Duẩn,821124
Cà Phê Muối Chú Long - Long An,852839
Cà Phê Muối Chú Long - Long Xuyên,350277
Cà Phê Muối Chú Long - Ngô Tất Tố,991063
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5620731
Cà Phê Muối Chú Long - Nguyễn Huệ,4207258
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2037572
Cà Phê Muối Chú Long - Nha Trang,3440383
Cà Phê Muối Chú Long - Phan Thiết,2247351
Cà Phê Muối Chú Long - Phan Văn Trị,2624763
Cà Phê Muối Chú Long - Quảng Ngãi,1192795
Cà Phê Muối Chú Long - Tây Ninh,478644
Cà Phê Muối Chú Long - Thanh Nhàn,10728463
Cà Phê Muối Chú Long - Thích Quảng Đức,762038
Cà Phê Muối Chú Long - Thuận An,1408037
Cà Phê Muối Chú Long - Tiền Giang,828593
Cà Phê Muối Chú Long - Tôn Đức Thắng,9728748
Cà Phê Muối Chú Long - Trà Vinh,577459
Cà Phê Muối Chú Long - Trần Hưng Đạo,608431
Cà Phê Muối Chú Long - Trương Định,7722000
Cà Phê Muối Chú Long - Vĩnh Long,1117566
Cà Phê Muối Chú Long - Võ Văn Kiệt,4159357
Cà Phê Muối Chú Long - Vũng Tàu,909591
(blank),
Grand Total,124897884
