Row Labels, Sum of Phí quảng cáo 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 84,171 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 18,588 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 88,983 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 146,981 "
Cà Phê Muối Chú Long - 59 Trường Chinh," 27,008 "
Cà Phê Muối Chú Long - An Dương Vương," 247,495 "
Cà Phê Muối Chú Long - Bà Triệu," 45,768 "
Cà Phê Muối Chú Long - Bạch Đằng," 114,902 "
Cà Phê Muối Chú Long - Bến Tre," 6,132 "
Cà Phê Muối Chú Long - Bình Long," 196,685 "
Cà Phê Muối Chú Long - Cà Mau," 15,055 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 73,338 "
Cà Phê Muối Chú Long - Cần Thơ," 57,507 "
Cà Phê Muối Chú Long - Classic," 105,115 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 112,405 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 76,006 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 10,911 "
Cà Phê Muối Chú Long - Đội Cấn," 394,857 "
Cà Phê Muối Chú Long - Đồng Xoài," 25,889 "
Cà Phê Muối Chú Long - Đường Láng," 423,869 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 178,518 "
Cà Phê Muối Chú Long - Hậu Giang," 206,191 "
Cà Phê Muối Chú Long - Hoàng Diệu," 74,556 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 122,588 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 143,080 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 116,838 "
Cà Phê Muối Chú Long - Kiên Giang," 42,075 "
Cà Phê Muối Chú Long - Lạc Long Quân," 92,557 "
Cà Phê Muối Chú Long - Lê Duẩn," 86,980 "
Cà Phê Muối Chú Long - Long An," 40,907 "
Cà Phê Muối Chú Long - Long Xuyên," 15,876 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 46,719 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 220,414 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 273,397 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 110,108 "
Cà Phê Muối Chú Long - Nha Trang," 171,472 "
Cà Phê Muối Chú Long - Phan Thiết," 103,077 "
Cà Phê Muối Chú Long - Phan Văn Trị," 112,252 "
Cà Phê Muối Chú Long - Quảng Ngãi," 55,859 "
Cà Phê Muối Chú Long - Tây Ninh," 14,669 "
Cà Phê Muối Chú Long - Thanh Nhàn," 428,508 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 36,838 "
Cà Phê Muối Chú Long - Thuận An," 55,993 "
Cà Phê Muối Chú Long - Tiền Giang," 30,273 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 441,122 "
Cà Phê Muối Chú Long - Trà Vinh," 26,184 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 37,343 "
Cà Phê Muối Chú Long - Trương Định," 478,868 "
Cà Phê Muối Chú Long - Vĩnh Long," 33,109 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 97,818 "
Cà Phê Muối Chú Long - Vũng Tàu," 52,680 "
(blank),
Grand Total," 6,218,532 "
