Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,968787
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,203905
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1512787
Cà Phê Muối Chú Long - 417 Cộng Hoà,3219481
Cà Phê Muối Chú Long - An Dương Vương,2199382
Cà Phê Muối Chú Long - Bà Rịa,27728
Cà Phê Muối Chú Long - Bà Triệu,698859
Cà Phê Muối Chú Long - Bạch Đằng,543247
Cà Phê Muối Chú Long - Bến Tre,242952
Cà Phê Muối Chú Long - Bình Long,3956630
Cà Phê Muối Chú Long - Cà Mau,226162
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1719137
Cà Phê Muối Chú Long - Cần Thơ,702819
Cà Phê Muối Chú Long - Classic,2146949
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1435446
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1742904
Cà Phê Muối Chú Long - Đoàn Thị Điểm,254646
Cà Phê Muối Chú Long - Đội Cấn,4394232
Cà Phê Muối Chú Long - Đồng Xoài,361973
Cà Phê Muối Chú Long - Đường Láng,7638607
Cà Phê Muối Chú Long - Hà Huy Giáp,5030654
Cà Phê Muối Chú Long - Hậu Giang,4123750
Cà Phê Muối Chú Long - Hoàng Diệu,1034051
Cà Phê Muối Chú Long - Hùng Vương,195417
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1759506
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2352175
Cà Phê Muối Chú Long - Kha Vạn Cân,1756491
Cà Phê Muối Chú Long - Kiên Giang,752049
Cà Phê Muối Chú Long - Lạc Long Quân,1968882
Cà Phê Muối Chú Long - Lê Duẩn,1182310
Cà Phê Muối Chú Long - Long An,622277
Cà Phê Muối Chú Long - Long Xuyên,162030
Cà Phê Muối Chú Long - Ngô Tất Tố,1091769
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3568057
Cà Phê Muối Chú Long - Nguyễn Huệ,2781862
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1109878
Cà Phê Muối Chú Long - Nha Trang,3226261
Cà Phê Muối Chú Long - Phan Thiết,1913977
Cà Phê Muối Chú Long - Phan Văn Trị,2036404
Cà Phê Muối Chú Long - Quảng Ngãi,990279
Cà Phê Muối Chú Long - Tây Ninh,64888
Cà Phê Muối Chú Long - Thanh Nhàn,7300592
Cà Phê Muối Chú Long - Thích Quảng Đức,752242
Cà Phê Muối Chú Long - Thuận An,932001
Cà Phê Muối Chú Long - Tiền Giang,359898
Cà Phê Muối Chú Long - Tôn Đức Thắng,6164680
Cà Phê Muối Chú Long - Trà Vinh,576061
Cà Phê Muối Chú Long - Trần Hưng Đạo,702253
Cà Phê Muối Chú Long - Trương Định,5079702
Cà Phê Muối Chú Long - Vĩnh Long,175988
Cà Phê Muối Chú Long - Võ Văn Kiệt,2748661
Cà Phê Muối Chú Long - Vũng Tàu,1086109
(blank),
Grand Total,97797787
