Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1671616
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,290296
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1972816
Cà Phê Muối Chú Long - 417 Cộng Hoà,4085695
Cà Phê Muối Chú Long - An Dương Vương,2716986
Cà Phê Muối Chú Long - Bà Rịa,22635
Cà Phê Muối Chú Long - Bà Triệu,1186362
Cà Phê Muối Chú Long - Bạch Đằng,1320278
Cà Phê Muối Chú Long - Bến Tre,295200
Cà Phê Muối Chú Long - Bình Long,5792176
Cà Phê Muối Chú Long - Cà Mau,250121
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1667088
Cà Phê Muối Chú Long - Cần Thơ,1276437
Cà Phê Muối Chú Long - Classic,3148464
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3237891
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1713869
Cà Phê Muối Chú Long - Đoàn Thị Điểm,185612
Cà Phê Muối Chú Long - Đội Cấn,9187059
Cà Phê Muối Chú Long - Đồng Xoài,550036
Cà Phê Muối Chú Long - Đường Láng,9858855
Cà Phê Muối Chú Long - Hà Huy Giáp,3594581
Cà Phê Muối Chú Long - Hậu Giang,5017015
Cà Phê Muối Chú Long - Hoàng Diệu,1348421
Cà Phê Muối Chú Long - Hùng Vương,1287186
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2472903
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3204812
Cà Phê Muối Chú Long - Kha Vạn Cân,2467105
Cà Phê Muối Chú Long - Kiên Giang,752621
Cà Phê Muối Chú Long - Lạc Long Quân,2279465
Cà Phê Muối Chú Long - Lê Duẩn,1951328
Cà Phê Muối Chú Long - Long An,1180803
Cà Phê Muối Chú Long - Long Xuyên,186363
Cà Phê Muối Chú Long - Ngô Tất Tố,1012172
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,6403012
Cà Phê Muối Chú Long - Nguyễn Huệ,5038060
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2905985
Cà Phê Muối Chú Long - Nha Trang,3170063
Cà Phê Muối Chú Long - Phan Thiết,2032919
Cà Phê Muối Chú Long - Phan Văn Trị,2924204
Cà Phê Muối Chú Long - Quảng Ngãi,1298039
Cà Phê Muối Chú Long - Tây Ninh,154485
Cà Phê Muối Chú Long - Thanh Nhàn,12547262
Cà Phê Muối Chú Long - Thích Quảng Đức,947678
Cà Phê Muối Chú Long - Thuận An,1373693
Cà Phê Muối Chú Long - Tiền Giang,420263
Cà Phê Muối Chú Long - Tôn Đức Thắng,10013002
Cà Phê Muối Chú Long - Trà Vinh,417430
Cà Phê Muối Chú Long - Trần Hưng Đạo,726589
Cà Phê Muối Chú Long - Trương Định,12040498
Cà Phê Muối Chú Long - Vĩnh Long,664814
Cà Phê Muối Chú Long - Võ Văn Kiệt,3818560
Cà Phê Muối Chú Long - Vũng Tàu,1611626
(blank),
Grand Total,145692449
