Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1350337
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,92804
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1839867
Cà Phê Muối Chú Long - 417 Cộng Hoà,2399099
Cà Phê Muối Chú Long - An Dương Vương,1607164
Cà Phê Muối Chú Long - Bà Rịa,410450
Cà Phê Muối Chú Long - Bà Triệu,483447
Cà Phê Muối Chú Long - Bạch Đằng,198906
Cà Phê Muối Chú Long - Bến Tre,327794
Cà Phê Muối Chú Long - Bình Long,3138668
Cà Phê Muối Chú Long - Cà Mau,417428
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,913596
Cà Phê Muối Chú Long - Cần Thơ,1585133
Cà Phê Muối Chú Long - Classic,2319769
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1654440
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,958899
Cà Phê Muối Chú Long - Đoàn Thị Điểm,257854
Cà Phê Muối Chú Long - Đội Cấn,7516910
Cà Phê Muối Chú Long - Đồng Xoài,296481
Cà Phê Muối Chú Long - Đường Láng,7648367
Cà Phê Muối Chú Long - Hà Huy Giáp,4011767
Cà Phê Muối Chú Long - Hậu Giang,4027937
Cà Phê Muối Chú Long - Hoàng Diệu,846629
Cà Phê Muối Chú Long - Hùng Vương,339868
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2391816
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3156929
Cà Phê Muối Chú Long - Kha Vạn Cân,1545572
Cà Phê Muối Chú Long - Kiên Giang,334810
Cà Phê Muối Chú Long - Lạc Long Quân,1585328
Cà Phê Muối Chú Long - Lê Duẩn,1104706
Cà Phê Muối Chú Long - Long An,417013
Cà Phê Muối Chú Long - Long Xuyên,356689
Cà Phê Muối Chú Long - Ngô Tất Tố,1181818
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4909754
Cà Phê Muối Chú Long - Nguyễn Huệ,4206795
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1145979
Cà Phê Muối Chú Long - Phan Thiết,1889566
Cà Phê Muối Chú Long - Phan Văn Trị,1325188
Cà Phê Muối Chú Long - Quảng Ngãi,1069282
Cà Phê Muối Chú Long - Tây Ninh,30557
Cà Phê Muối Chú Long - Thanh Nhàn,10384431
Cà Phê Muối Chú Long - Thích Quảng Đức,936754
Cà Phê Muối Chú Long - Thuận An,819692
Cà Phê Muối Chú Long - Tiền Giang,408187
Cà Phê Muối Chú Long - Tôn Đức Thắng,7945333
Cà Phê Muối Chú Long - Trà Vinh,200132
Cà Phê Muối Chú Long - Trần Hưng Đạo,517402
Cà Phê Muối Chú Long - Trương Định,8989878
Cà Phê Muối Chú Long - Vĩnh Long,516233
Cà Phê Muối Chú Long - Võ Văn Kiệt,2493713
Cà Phê Muối Chú Long - Vũng Tàu,455062
(blank),
Grand Total,104962233
