Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,869113
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,417842
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3772445
Cà Phê Muối Chú Long - 417 Cộng Hoà,3341400
Cà Phê Muối Chú Long - An Dương Vương,1143830
Cà Phê Muối Chú Long - Bà Rịa,48288
Cà Phê Muối Chú Long - Bà Triệu,521739
Cà Phê Muối Chú Long - Bến Tre,106083
Cà Phê Muối Chú Long - Bình Long,2979999
Cà Phê Muối Chú Long - Cà Mau,343109
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1653349
Cà Phê Muối Chú Long - Cần Thơ,1267830
Cà Phê Muối Chú Long - Classic,2077080
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3022995
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1602566
Cà Phê Muối Chú Long - Đoàn Thị Điểm,137131
Cà Phê Muối Chú Long - Đội Cấn,7390516
Cà Phê Muối Chú Long - Đồng Xoài,606922
Cà Phê Muối Chú Long - Đường Láng,7183483
Cà Phê Muối Chú Long - Hà Huy Giáp,3365505
Cà Phê Muối Chú Long - Hậu Giang,4382460
Cà Phê Muối Chú Long - Hoàng Diệu,689014
Cà Phê Muối Chú Long - Hùng Vương,355751
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2039427
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2661517
Cà Phê Muối Chú Long - Kiên Giang,313194
Cà Phê Muối Chú Long - Kha Vạn Cân,1531870
Cà Phê Muối Chú Long - Lạc Long Quân,2604325
Cà Phê Muối Chú Long - Lê Duẩn,1137983
Cà Phê Muối Chú Long - Long An,1024426
Cà Phê Muối Chú Long - Long Xuyên,382572
Cà Phê Muối Chú Long - Ngô Tất Tố,995719
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4335229
Cà Phê Muối Chú Long - Nguyễn Huệ,5036465
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1489014
Cà Phê Muối Chú Long - Phan Thiết,1705733
Cà Phê Muối Chú Long - Quảng Ngãi,1996115
Cà Phê Muối Chú Long - Tây Ninh,170518
Cà Phê Muối Chú Long - Tiền Giang,257098
Cà Phê Muối Chú Long - Tôn Đức Thắng,8497531
Cà Phê Muối Chú Long - Thanh Nhàn,10444595
Cà Phê Muối Chú Long - Thích Quảng Đức,754201
Cà Phê Muối Chú Long - Thuận An,1215542
Cà Phê Muối Chú Long - Trà Vinh,664528
Cà Phê Muối Chú Long - Trần Hưng Đạo,518154
Cà Phê Muối Chú Long - Trương Định,8391522
Cà Phê Muối Chú Long - Vĩnh Long,521211
Cà Phê Muối Chú Long - Võ Văn Kiệt,2272116
Cà Phê Muối Chú Long - Vũng Tàu,1021146
(blank),
Grand Total,109260201
