Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1415451
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,265208
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2392913
Cà Phê Muối Chú Long - 417 Cộng Hoà,2186554
Cà Phê Muối Chú Long - An Dương Vương,1110630
Cà Phê Muối Chú Long - Bà Rịa,21881
Cà Phê Muối Chú Long - Bà Triệu,743563
Cà Phê Muối Chú Long - Bạch Đằng,161463
Cà Phê Muối Chú Long - Bến Tre,177686
Cà Phê Muối Chú Long - Bình Long,4424797
Cà Phê Muối Chú Long - Cà Mau,480239
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,728854
Cà Phê Muối Chú Long - Cần Thơ,1350940
Cà Phê Muối Chú Long - Classic,1988125
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1988494
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1341508
Cà Phê Muối Chú Long - Đoàn Thị Điểm,258795
Cà Phê Muối Chú Long - Đội Cấn,5899850
Cà Phê Muối Chú Long - Đồng Xoài,467605
Cà Phê Muối Chú Long - Đường Láng,6285775
Cà Phê Muối Chú Long - Hà Huy Giáp,3665371
Cà Phê Muối Chú Long - Hậu Giang,4429700
Cà Phê Muối Chú Long - Hoàng Diệu,731302
Cà Phê Muối Chú Long - Hùng Vương,741869
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2718102
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3575601
Cà Phê Muối Chú Long - Kha Vạn Cân,2016039
Cà Phê Muối Chú Long - Kiên Giang,679430
Cà Phê Muối Chú Long - Lạc Long Quân,1956429
Cà Phê Muối Chú Long - Lê Duẩn,1005565
Cà Phê Muối Chú Long - Long An,881825
Cà Phê Muối Chú Long - Long Xuyên,428559
Cà Phê Muối Chú Long - Ngô Tất Tố,1415823
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4565137
Cà Phê Muối Chú Long - Nguyễn Huệ,3016507
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1131759
Cà Phê Muối Chú Long - Phan Thiết,2524366
Cà Phê Muối Chú Long - Phan Văn Trị,633784
Cà Phê Muối Chú Long - Quảng Ngãi,1004808
Cà Phê Muối Chú Long - Tây Ninh,212581
Cà Phê Muối Chú Long - Thanh Nhàn,8765847
Cà Phê Muối Chú Long - Thích Quảng Đức,708482
Cà Phê Muối Chú Long - Thuận An,1051588
Cà Phê Muối Chú Long - Tiền Giang,349712
Cà Phê Muối Chú Long - Tôn Đức Thắng,7229663
Cà Phê Muối Chú Long - Trà Vinh,548149
Cà Phê Muối Chú Long - Trần Hưng Đạo,367820
Cà Phê Muối Chú Long - Trương Định,6353307
Cà Phê Muối Chú Long - Vĩnh Long,339336
Cà Phê Muối Chú Long - Võ Văn Kiệt,1996423
Cà Phê Muối Chú Long - Vũng Tàu,731871
(blank),
Grand Total,99467086
