Row Labels,Sum of Sum of Thực thu
(blank),
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1064609
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,236726
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2952762
Cà Phê Muối Chú Long - 417 Cộng Hoà,3598608
Cà Phê Muối Chú Long - An Dương Vương,717536
Cà Phê Muối Chú Long - Bà Triệu,553426
Cà Phê Muối Chú Long - Bến Tre,230311
Cà Phê Muối Chú Long - Bình Long,3764229
Cà Phê Muối Chú Long - Cà Mau,380835
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,962000
Cà Phê Muối Chú Long - Cần Thơ,1281522
Cà Phê Muối Chú Long - Classic,1700656
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2713960
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1723290
Cà Phê Muối Chú Long - Đoàn Thị Điểm,150901
Cà Phê Muối Chú Long - Đội Cấn,7910224
Cà Phê Muối Chú Long - Đồng Xoài,461757
Cà Phê Muối Chú Long - Đường Láng,8453852
Cà Phê Muối Chú Long - Hà Huy Giáp,3925870
Cà Phê Muối Chú Long - Hậu Giang,4269964
Cà Phê Muối Chú Long - Hoàng Diệu,635296
Cà Phê Muối Chú Long - Hùng Vương,368011
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1825902
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3016892
Cà Phê Muối Chú Long - Kiên Giang,354993
Cà Phê Muối Chú Long - Kha Vạn Cân,1857597
Cà Phê Muối Chú Long - Lạc Long Quân,1813831
Cà Phê Muối Chú Long - Lê Duẩn,1036691
Cà Phê Muối Chú Long - Long An,595605
Cà Phê Muối Chú Long - Long Xuyên,175610
Cà Phê Muối Chú Long - Ngô Tất Tố,1171747
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4577581
Cà Phê Muối Chú Long - Nguyễn Huệ,5217019
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2095258
Cà Phê Muối Chú Long - Phan Thiết,1655744
Cà Phê Muối Chú Long - Quảng Ngãi,1367842
Cà Phê Muối Chú Long - Tây Ninh,96577
Cà Phê Muối Chú Long - Tiền Giang,129208
Cà Phê Muối Chú Long - Tôn Đức Thắng,9098942
Cà Phê Muối Chú Long - Thanh Nhàn,11812141
Cà Phê Muối Chú Long - Thích Quảng Đức,1536168
Cà Phê Muối Chú Long - Thuận An,1147223
Cà Phê Muối Chú Long - Trà Vinh,213712
Cà Phê Muối Chú Long - Trần Hưng Đạo,540601
Cà Phê Muối Chú Long - Trương Định,11526925
Cà Phê Muối Chú Long - Vĩnh Long,473261
Cà Phê Muối Chú Long - Võ Văn Kiệt,2935028
Cà Phê Muối Chú Long - Vũng Tàu,727077
Grand Total,115055520
(blank),
Grand Total,230111040
